id_oferta,empresa,ciudad,país,cargo,lenguaje,framework,nivel_seniority,salario_anual_usd,modalidad,fecha_publicación,fecha_publicación_year,fecha_publicación_month,fecha_publicación_quarter,source
JOB-100031,DevOpsLab,Buenos Aires,Argentina,Cloud Architect,C#,Flask,Mid,17772.0,Remoto,,,,,jobs
JOB-100032,SoftSmart,New York,USA,Fullstack Developer,PHP,Flask,Senior,,Híbrido,,,,,jobs
JOB-100033,BluePixel,Bogotá,Colombia,Cybersecurity Analyst,Java,Flask,Junior,7222.0,Remoto,2023-08-07,2023.0,8.0,3.0,jobs
JOB-100034,Atlas Systems,Valparaíso,Chile,DevOps Engineer,JavaScript,Vue,Senior,37811.0,Híbrido,,,,,jobs
JOB-100035,CloudForge,arequipa,Perú,Frontend Developer,Python,Spark,Junior,9940.0,Remoto,,,,,jobs
JOB-100036,Lambda Solutions,CDMX,México,Cybersecurity Analyst,R,Angular,Senior,22.697,Remoto,,,,,jobs
JOB-100037,SoftSmart,Lima,Perú,Frontend Developer,Scala,Angular,Senior,20648.0,Híbrido,,,,,jobs
JOB-100038,CodeWorks,Puebla,México,Data Scientist,Python,Vue,Senior,30726.0,Remoto,,,,,jobs
JOB-100039,QuantumWare,San Francisco,USA,Cybersecurity Analyst,Go,React,Junior,96134.0,Híbrido,,,,,jobs
JOB-100040,DataNova,CDMX,México,Data Analyst,Scala,Angular,Mid,17110.0,Presencial,,,,,jobs
JOB-100041,BluePixel,SEATTLE,USA,Data Scientist,Kotlin,Spring,Junior,85584.0,Híbrido,,,,,jobs
JOB-100042,BluePixel,SEATTLE,USA,Backend Developer,PHP,Spring,Junior,73948.0,Presencial,2025-05-09,2025.0,5.0,2.0,jobs
JOB-100043,DataNova,Rosario,Argentina,Data Analyst,Go,Flask,Junior,17.363,Híbrido,,,,,jobs
JOB-100044,DevOpsLab,???,España,MLOps Engineer,TypeScript,.NET,Mid,33.708,Presencial,2025-10-08,2025.0,10.0,4.0,jobs
JOB-100045,GreenBit,Cusco,Perú,Data Engineer,Swift,Spring,Senior,18.742,Presencial,2025-11-04,2025.0,11.0,4.0,jobs
JOB-100046,CodeWorks,Córdoba,Argentina,ML Engineer,Scala,Node.js,Junior,11672.0,Presencial,,,,,jobs
JOB-100047,DataNova,Bucaramanga,Colombia,Cloud Architect,Java,Vue,Senior,17765.0,Híbrido,,,,,jobs
JOB-100048,SoftSmart,???,Perú,Backend Developer,Scala,FastAPI,Mid,24.068,Híbrido,2022-06-04,2022.0,6.0,2.0,jobs
JOB-100049,DevOpsLab,Valencia,España,Fullstack Developer,Go,Spark,Senior,55349.0,Remoto,,,,,jobs
JOB-100050,CyberShield,Miami,USA,Data Engineer,C#,Spark,Mid,87524.0,Híbrido,,,,,jobs
JOB-100051,CloudForge,Cartagena,Colombia,Cloud Architect,Python,Angular,Mid,15441.0,Híbrido,2024-03-03,2024.0,3.0,1.0,jobs
JOB-100052,SoftSmart,Valencia,España,Data Analyst,TypeScript,Flask,Junior,31482.0,Presencial,,,,,jobs
JOB-100053,Vertex AI,Medellín,Colombia,Backend Developer,Kotlin,FastAPI,Mid,12182.0,Presencial,,,,,jobs
JOB-100054,DevOpsLab,CALI,Colombia,DevOps Engineer,PHP,.NET,Mid,12454.0,Híbrido,2022-03-09,2022.0,3.0,1.0,jobs
JOB-100055,BluePixel,Rosario,Argentina,Frontend Developer,PHP,Flask,Mid,19.602,Híbrido,,,,,jobs
JOB-100056,BluePixel,Rosario,Argentina,MLOps Engineer,JavaScript,React,Mid,19071.0,Híbrido,,,,,jobs
JOB-100057,SoftSmart,Córdoba,Argentina,Data Engineer,Java,,Senior,21.973,Presencial,,,,,jobs
JOB-100058,DevOpsLab,Austin,USA,ML Engineer,Kotlin,.NET,Mid,102148.0,Híbrido,2025-05-09,2025.0,5.0,2.0,jobs
JOB-100059,QuantumWare,Unknown,Colombia,Data Analyst,JavaScript,Spark,Junior,9463.0,Presencial,,,,,jobs
JOB-100060,Orion Cloud,CDMX,México,DevOps Engineer,JavaScript,Vue,Junior,16977.0,Remoto,,,,,jobs
JOB-100061,SoftSmart,Barcelona,España,Data Scientist,R,.NET,Mid,35897.0,Remoto,,,,,jobs
JOB-100062,Vertex AI,barcelona,España,ML Engineer,Scala,Vue,Senior,37987.0,Híbrido,,,,,jobs
JOB-100063,BluePixel,Sevilla,España,Data Scientist,JavaScript,Django,Mid,37432.0,Remoto,,,,,jobs
JOB-100064,Orion Cloud,Guadalajara,México,Cloud Architect,C#,Flask,Junior,18.071,Presencial,,,,,jobs
JOB-100065,CodeWorks,Bucaramanga,Colombia,Data Scientist,JavaScript,React,Senior,15833.0,Presencial,,,,,jobs
JOB-100066,CyberShield,Santiago,Chile,Data Analyst,Java,Angular,Senior,30328.0,Presencial,,,,,jobs
JOB-100067,Orion Cloud,rosario,Argentina,Frontend Developer,PHP,Spark,Junior,13.135,Remoto,,,,,jobs
JOB-100068,SoftSmart,Cali,Colombia,Cloud Architect,Scala,Spark,Mid,10.109,Híbrido,,,,,jobs
JOB-100069,Lambda Solutions,BUENOS AIRES,Argentina,Data Engineer,R,Node.js,Senior,26739.0,Presencial,,,,,jobs
JOB-100070,SoftSmart,Monterrey,México,Frontend Developer,C#,React,Mid,14814.0,Remoto,,,,,jobs
JOB-100071,NeoTech,Santiago,Chile,Cloud Architect,R,Spark,Junior,24492.0,Remoto,,,,,jobs
JOB-100072,CodeWorks,New York,USA,ML Engineer,R,FastAPI,Senior,,Híbrido,,,,,jobs
JOB-100073,Orion Cloud,Córdoba,Argentina,Data Scientist,Go,Spark,Senior,28.456,Remoto,,,,,jobs
JOB-100074,CloudForge,Lima,Perú,Fullstack Developer,R,Flask,Senior,30636.0,Híbrido,,,,,jobs
JOB-100075,SoftSmart,Austin,USA,Fullstack Developer,Swift,FastAPI,Junior,93137.0,Remoto,,,,,jobs
JOB-100076,QuantumWare,Bogotá,Colombia,Data Scientist,R,Django,Mid,11617.0,Presencial,,,,,jobs
JOB-100077,CodeWorks,Bucaramanga,Colombia,Frontend Developer,PHP,Angular,Mid,12597.0,Remoto,,,,,jobs
JOB-100078,Orion Cloud,???,México,DevOps Engineer,Go,.NET,Mid,19984.0,Híbrido,2022-06-11,2022.0,6.0,2.0,jobs
JOB-100079,Lambda Solutions,Santiago,Chile,Cloud Architect,PHP,Laravel,Junior,19421.0,Remoto,,,,,jobs
JOB-100080,RocketSoft,Buenos Aires,Argentina,Cybersecurity Analyst,Swift,Node.js,Junior,11.732,Presencial,,,,,jobs
JOB-100081,RocketSoft,Puebla,México,Data Engineer,Kotlin,Spring,Junior,15814.0,Presencial,,,,,jobs
JOB-100082,BluePixel,Austin,USA,Frontend Developer,Go,Laravel,Mid,107744.0,Híbrido,,,,,jobs
JOB-100083,DevOpsLab,Barranquilla,Colombia,Frontend Developer,TypeScript,React,Mid,12747.0,Presencial,,,,,jobs
JOB-100084,CyberShield,Barranquilla,Colombia,MLOps Engineer,Kotlin,Django,Junior,8270.0,Híbrido,,,,,jobs
JOB-100085,NeoTech,Cusco,Perú,Data Analyst,Python,React,Senior,24459.0,Híbrido,,,,,jobs
JOB-100086,Atlas Systems,Concepción,Chile,MLOps Engineer,Python,Flask,Senior,31.898,Remoto,,,,,jobs
JOB-100087,SoftSmart,Barcelona,España,Frontend Developer,Python,Laravel,Senior,50.808,Híbrido,,,,,jobs
JOB-100088,BluePixel,Valparaíso,Chile,Data Analyst,C#,Django,Mid,29863.0,Híbrido,,,,,jobs
JOB-100089,CloudForge,Seattle,USA,MLOps Engineer,JavaScript,.NET,Senior,,Híbrido,,,,,jobs
JOB-100090,Vertex AI,Barcelona,España,DevOps Engineer,R,Django,Mid,41815.0,Remoto,,,,,jobs
JOB-100091,GreenBit,Seattle,USA,Data Analyst,Java,.NET,Senior,,Remoto,,,,,jobs
JOB-100092,QuantumWare,BARCELONA,España,Data Analyst,TypeScript,Laravel,Mid,41856.0,Remoto,2024-03-12,2024.0,3.0,1.0,jobs
JOB-100093,CyberShield,CDMX,México,DevOps Engineer,Kotlin,React,Mid,17.966,Híbrido,,,,,jobs
JOB-100094,IA Factory,Santiago,Chile,MLOps Engineer,C#,Laravel,Mid,24716.0,Presencial,,,,,jobs
JOB-100095,IA Factory,Guadalajara,México,DevOps Engineer,PHP,Flask,Junior,12.944,Presencial,,,,,jobs
JOB-100096,Orion Cloud,Córdoba,Argentina,Cybersecurity Analyst,Scala,Angular,Senior,27765.0,Híbrido,,,,,jobs
JOB-100097,Orion Cloud,Cordoba,Argentina,ML Engineer,Python,Django,Senior,37491.0,Híbrido,,,,,jobs
JOB-100098,CloudForge,Barranquilla,Colombia,ML Engineer,PHP,.NET,Mid,13.564,Remoto,,,,,jobs
JOB-100099,Lambda Solutions,Cusco,Perú,Data Engineer,Swift,Flask,Junior,13.661,Remoto,,,,,jobs
JOB-100100,RocketSoft,CDMX,México,Frontend Developer,JavaScript,Spark,Senior,23416.0,Remoto,,,,,jobs
JOB-100101,Orion Cloud,Monterrey,México,ML Engineer,Go,Vue,Mid,15.665,Híbrido,,,,,jobs
JOB-100102,QuantumWare,SEATTLE,USA,ML Engineer,Scala,Angular,Senior,,Remoto,,,,,jobs
JOB-100103,Vertex AI,Madrid,España,Cloud Architect,Swift,,Senior,56324.0,Presencial,,,,,jobs
JOB-100104,Vertex AI,Lima,Perú,BI Developer,JavaScript,Node.js,Mid,14103.0,Presencial,,,,,jobs
JOB-100105,Atlas Systems,New York,USA,Frontend Developer,Scala,Laravel,Senior,,Remoto,,,,,jobs
JOB-100106,Vertex AI,Concepción,Chile,Data Scientist,JavaScript,FastAPI,Junior,18291.0,Remoto,,,,,jobs
JOB-100107,Vertex AI,MIAMI,USA,Cybersecurity Analyst,C#,.NET,Senior,161.463,Presencial,,,,,jobs
JOB-100108,NeoTech,???,Colombia,Data Engineer,JavaScript,FastAPI,Junior,9825.0,Híbrido,,,,,jobs
JOB-100109,CodeWorks,Sevilla,España,MLOps Engineer,Swift,Node.js,Senior,66.907,Remoto,,,,,jobs
JOB-100110,DataNova,Bogota,Colombia,DevOps Engineer,JavaScript,React,Junior,8940.0,Presencial,2023-08-02,2023.0,8.0,3.0,jobs
JOB-100111,GreenBit,Cali,Colombia,BI Developer,JavaScript,Vue,Mid,11481.0,Presencial,,,,,jobs
JOB-100112,GreenBit,Sevilla,España,Data Engineer,Kotlin,Flask,Senior,55.592,Híbrido,,,,,jobs
JOB-100113,Atlas Systems,Unknown,Chile,Data Engineer,Python,Angular,Senior,40.543,Híbrido,2025-07-08,2025.0,7.0,3.0,jobs
JOB-100114,DataNova,Unknown,México,ML Engineer,Go,React,Senior,27339.0,Remoto,,,,,jobs
JOB-100115,QuantumWare,Unknown,Argentina,MLOps Engineer,Scala,Vue,Mid,16299.0,Híbrido,,,,,jobs
JOB-100116,QuantumWare,Guadalajara,México,BI Developer,TypeScript,Flask,Senior,25891.0,Remoto,,,,,jobs
JOB-100117,DevOpsLab,CDMX,México,Data Engineer,Python,Django,Junior,14.448,Remoto,,,,,jobs
JOB-100118,CloudForge,Guadalajara,México,Data Engineer,R,Flask,Junior,13473.0,Presencial,,,,,jobs
JOB-100119,DevOpsLab,Austin,USA,Data Analyst,Scala,React,Mid,85.764,Híbrido,,,,,jobs
JOB-100120,Vertex AI,Arequipa,Perú,Fullstack Developer,TypeScript,Vue,Mid,22718.0,Híbrido,,,,,jobs
JOB-100121,CyberShield,Santiago,Chile,Fullstack Developer,Kotlin,Django,Senior,32950.0,Presencial,2023-12-08,2023.0,12.0,4.0,jobs
JOB-100122,SoftSmart,Buenos Aires,Argentina,Frontend Developer,Python,Django,Mid,17462.0,Híbrido,,,,,jobs
JOB-100123,Atlas Systems,Barcelona,España,BI Developer,JavaScript,Angular,Junior,33305.0,Presencial,,,,,jobs
JOB-100124,CyberShield,Córdoba,Argentina,MLOps Engineer,PHP,Node.js,Junior,16313.0,Híbrido,,,,,jobs
JOB-100125,BluePixel,Puebla,México,Frontend Developer,R,Vue,Senior,24913.0,Híbrido,,,,,jobs
JOB-100126,Lambda Solutions,Concepción,Chile,Cybersecurity Analyst,JavaScript,FastAPI,Senior,39.101,Híbrido,2023-11-06,2023.0,11.0,4.0,jobs
JOB-100127,Orion Cloud,Unknown,USA,MLOps Engineer,C#,Vue,Junior,81570.0,Presencial,,,,,jobs
JOB-100128,Vertex AI,???,USA,ML Engineer,C#,Node.js,Junior,80.128,Remoto,,,,,jobs
JOB-100129,DevOpsLab,CDMX,México,Frontend Developer,Go,.NET,Mid,20603.0,Híbrido,,,,,jobs
JOB-100130,DataNova,Valencia,España,DevOps Engineer,R,React,Senior,55.463,Híbrido,,,,,jobs
JOB-100131,NeoTech,Sevilla,España,DevOps Engineer,TypeScript,Laravel,Senior,48276.0,Presencial,,,,,jobs
JOB-100132,Lambda Solutions,Puebla,México,Frontend Developer,Scala,Flask,Mid,17021.0,Híbrido,,,,,jobs
JOB-100133,GreenBit,Valencia,España,Cybersecurity Analyst,Scala,Spark,Junior,28024.0,Híbrido,,,,,jobs
JOB-100134,SoftSmart,Cartagena,Colombia,ML Engineer,C#,Vue,Mid,12377.0,Presencial,,,,,jobs
JOB-100135,Vertex AI,Buenos Aires,Argentina,Cybersecurity Analyst,PHP,.NET,Senior,23472.0,Híbrido,,,,,jobs
JOB-100136,Vertex AI,Córdoba,Argentina,MLOps Engineer,Python,Angular,Mid,14502.0,Híbrido,,,,,jobs
JOB-100137,CyberShield,Puebla,México,Backend Developer,Go,.NET,Senior,25533.0,Remoto,,,,,jobs
JOB-100138,NeoTech,Arequipa,Perú,ML Engineer,PHP,Spark,Senior,20147.0,Presencial,,,,,jobs
JOB-100139,RocketSoft,Rosario,Argentina,Fullstack Developer,C#,Angular,Senior,19.801,Presencial,,,,,jobs
JOB-100140,Atlas Systems,Seattle,USA,Fullstack Developer,C#,Spark,Mid,100319.0,Presencial,,,,,jobs
JOB-100141,QuantumWare,Lima,Perú,Data Scientist,Java,Laravel,Mid,16080.0,Presencial,,,,,jobs
JOB-100142,SoftSmart,Santiago,Chile,Data Analyst,Scala,Angular,Mid,26860.0,Remoto,,,,,jobs
JOB-100143,SoftSmart,Madrid,España,DevOps Engineer,Swift,Spring,Senior,48963.0,Remoto,2024-09-10,2024.0,9.0,3.0,jobs
JOB-100144,Orion Cloud,seattle,USA,MLOps Engineer,Java,Vue,Junior,63209.0,Híbrido,,,,,jobs
JOB-100145,DevOpsLab,CDMX,México,Data Engineer,Kotlin,React,Mid,14642.0,Híbrido,,,,,jobs
JOB-100146,Orion Cloud,Medellín,Colombia,Fullstack Developer,R,.NET,Senior,15502.0,Remoto,,,,,jobs
JOB-100147,Lambda Solutions,???,Perú,Data Analyst,Swift,FastAPI,Mid,17261.0,Híbrido,2025-04-07,2025.0,4.0,2.0,jobs
JOB-100148,Vertex AI,Lima,Perú,Fullstack Developer,Kotlin,Vue,Senior,22087.0,Híbrido,,,,,jobs
JOB-100149,BluePixel,Valparaíso,Chile,Fullstack Developer,Kotlin,.NET,Mid,23945.0,Remoto,,,,,jobs
JOB-100150,Lambda Solutions,Concepción,Chile,Backend Developer,PHP,Angular,Junior,15391.0,Híbrido,,,,,jobs
JOB-100151,CodeWorks,Medellín,Colombia,DevOps Engineer,Go,Flask,Junior,9620.0,Presencial,,,,,jobs
JOB-100152,QuantumWare,???,España,BI Developer,JavaScript,Spark,Senior,38.886,Presencial,,,,,jobs
JOB-100153,IA Factory,Cali,Colombia,Data Scientist,R,Flask,Senior,16311.0,Híbrido,,,,,jobs
JOB-100154,IA Factory,Rosario,Argentina,DevOps Engineer,Python,Node.js,Junior,17673.0,Híbrido,,,,,jobs
JOB-100155,GreenBit,Bucaramanga,Colombia,BI Developer,R,FastAPI,Junior,11.172,Híbrido,,,,,jobs
JOB-100156,RocketSoft,???,Argentina,Backend Developer,JavaScript,Spark,Junior,20114.0,Remoto,,,,,jobs
JOB-100157,DevOpsLab,Santiago,Chile,Cloud Architect,Python,Angular,Senior,26829.0,Remoto,,,,,jobs
JOB-100158,CloudForge,Córdoba,Argentina,Frontend Developer,Scala,Vue,Senior,31.186,Remoto,,,,,jobs
JOB-100159,CloudForge,Santiago,Chile,DevOps Engineer,Go,Angular,Senior,41332.0,Presencial,,,,,jobs
JOB-100160,Orion Cloud,Lima,Perú,Cloud Architect,Scala,Spring,Junior,16518.0,Presencial,,,,,jobs
JOB-100161,Orion Cloud,New York,USA,Frontend Developer,TypeScript,Node.js,Mid,81757.0,Presencial,2022-01-02,2022.0,1.0,1.0,jobs
JOB-100162,BluePixel,Rosario,Argentina,BI Developer,R,React,Mid,21235.0,Híbrido,,,,,jobs
JOB-100163,Atlas Systems,San Francisco,USA,DevOps Engineer,JavaScript,Laravel,Junior,97204.0,Híbrido,,,,,jobs
JOB-100164,CloudForge,Guadalajara,México,Cybersecurity Analyst,Swift,FastAPI,Mid,13957.0,Presencial,,,,,jobs
JOB-100165,Atlas Systems,Santiago,Chile,BI Developer,Python,.NET,Mid,26786.0,Remoto,,,,,jobs
JOB-100166,Atlas Systems,santiago,Chile,Cybersecurity Analyst,PHP,FastAPI,Senior,40839.0,Remoto,,,,,jobs
JOB-100167,Vertex AI,Barranquilla,Colombia,DevOps Engineer,Swift,Spring,Junior,8596.0,Híbrido,,,,,jobs
JOB-100168,DevOpsLab,Miami,USA,Fullstack Developer,TypeScript,Django,Mid,103307.0,Remoto,,,,,jobs
JOB-100169,SoftSmart,Rosario,Argentina,Frontend Developer,Go,.NET,Junior,13429.0,Híbrido,,,,,jobs
JOB-100170,IA Factory,Cartagena,Colombia,DevOps Engineer,Java,Django,Junior,8430.0,Híbrido,,,,,jobs
JOB-100171,CloudForge,Madrid,España,Frontend Developer,PHP,Laravel,Junior,26674.0,Remoto,2024-07-07,2024.0,7.0,3.0,jobs
JOB-100172,NeoTech,Austin,USA,Data Engineer,C#,Spring,Junior,78192.0,Remoto,,,,,jobs
JOB-100173,RocketSoft,Lima,Perú,Data Scientist,Java,Spring,Mid,17754.0,Presencial,,,,,jobs
JOB-100174,CyberShield,Buenos Aires,Argentina,Cloud Architect,PHP,Node.js,Mid,22862.0,Remoto,,,,,jobs
JOB-100175,DataNova,Lima,Perú,Cloud Architect,C#,Django,Junior,12368.0,Híbrido,,,,,jobs
JOB-100176,QuantumWare,Austin,USA,Data Scientist,Scala,Flask,Mid,93.129,Remoto,,,,,jobs
JOB-100177,NeoTech,Rosario,Argentina,Data Engineer,Python,Spring,Senior,32036.0,Remoto,,,,,jobs
JOB-100178,DevOpsLab,San Francisco,USA,Data Scientist,Go,Laravel,Mid,102.991,Híbrido,,,,,jobs
JOB-100179,CodeWorks,córdoba,Argentina,MLOps Engineer,Scala,React,Senior,,Híbrido,,,,,jobs
JOB-100180,NeoTech,CDMX,México,Data Analyst,R,Angular,Mid,19796.0,Remoto,,,,,jobs
JOB-100181,Lambda Solutions,Cusco,Perú,Cybersecurity Analyst,JavaScript,FastAPI,Junior,13366.0,Híbrido,,,,,jobs
JOB-100182,IA Factory,Barcelona,España,ML Engineer,JavaScript,Vue,Junior,32157.0,Remoto,,,,,jobs
JOB-100183,IA Factory,Barcelona,España,Backend Developer,JavaScript,Laravel,Senior,55599.0,Remoto,,,,,jobs
JOB-100184,CodeWorks,Cusco,Perú,Cybersecurity Analyst,PHP,Node.js,Mid,21292.0,Remoto,,,,,jobs
JOB-100185,RocketSoft,???,México,ML Engineer,Scala,Angular,Junior,14651.0,Híbrido,,,,,jobs
JOB-100186,Orion Cloud,Barcelona,España,Cybersecurity Analyst,Java,Flask,Mid,27433.0,Presencial,,,,,jobs
JOB-100187,CyberShield,Cartagena,Colombia,Data Engineer,Kotlin,FastAPI,Senior,13347.0,Remoto,,,,,jobs
JOB-100188,IA Factory,???,Chile,ML Engineer,Java,Angular,Mid,27.741,Presencial,,,,,jobs
JOB-100189,Orion Cloud,New York,USA,Cybersecurity Analyst,C#,FastAPI,Junior,73055.0,Híbrido,,,,,jobs
JOB-100190,Atlas Systems,Guadalajara,México,Data Analyst,Java,Flask,Mid,21072.0,Presencial,,,,,jobs
JOB-100191,IA Factory,Rosario,Argentina,Data Scientist,Scala,.NET,Senior,29148.0,Híbrido,,,,,jobs
JOB-100192,NeoTech,Arequipa,Perú,Fullstack Developer,R,Laravel,Mid,15977.0,Híbrido,,,,,jobs
JOB-100193,Vertex AI,cali,Colombia,Backend Developer,R,Spark,Senior,19527.0,Remoto,,,,,jobs
JOB-100194,DataNova,Arequipa,Perú,Backend Developer,JavaScript,.NET,Mid,15820.0,Remoto,,,,,jobs
JOB-100195,Atlas Systems,Cali,Colombia,MLOps Engineer,Swift,Django,Senior,11627.0,Híbrido,,,,,jobs
JOB-100196,BluePixel,Cartagena,Colombia,Fullstack Developer,Scala,Spring,Junior,12571.0,Remoto,,,,,jobs
JOB-100197,DevOpsLab,San Francisco,USA,Frontend Developer,R,,Mid,67771.0,Híbrido,2025-03-06,2025.0,3.0,1.0,jobs
JOB-100198,SoftSmart,Miami,USA,Cybersecurity Analyst,PHP,FastAPI,Senior,,Remoto,,,,,jobs
JOB-100199,QuantumWare,Guadalajara,México,BI Developer,R,Django,Mid,20534.0,Híbrido,,,,,jobs
JOB-100200,SoftSmart,Santiago,Chile,Frontend Developer,Python,Django,Junior,20441.0,Híbrido,,,,,jobs
JOB-100201,Orion Cloud,Barcelona,España,Fullstack Developer,Java,Vue,Junior,22723.0,Remoto,,,,,jobs
JOB-100202,Atlas Systems,Cusco,Perú,Cybersecurity Analyst,Java,FastAPI,Mid,20740.0,Híbrido,,,,,jobs
JOB-100203,CyberShield,Córdoba,Argentina,Cloud Architect,R,Laravel,Junior,12540.0,Híbrido,,,,,jobs
JOB-100204,Vertex AI,Concepción,Chile,Frontend Developer,PHP,.NET,Senior,27945.0,Remoto,,,,,jobs
JOB-100205,IA Factory,Valparaíso,Chile,Cybersecurity Analyst,Go,Spring,Mid,23643.0,Híbrido,,,,,jobs
JOB-100206,SoftSmart,Miami,USA,DevOps Engineer,Python,Django,Junior,84988.0,Presencial,,,,,jobs
JOB-100207,GreenBit,Concepción,Chile,DevOps Engineer,Kotlin,Node.js,Junior,20.9,Presencial,,,,,jobs
JOB-100208,Vertex AI,Santiago,Chile,Cybersecurity Analyst,R,Spark,Senior,39256.0,Híbrido,,,,,jobs
JOB-100209,Lambda Solutions,Austin,USA,Data Engineer,Swift,Flask,Junior,70.942,Híbrido,,,,,jobs
JOB-100210,BluePixel,Barcelona,España,Data Engineer,PHP,Vue,Mid,37.018,Presencial,,,,,jobs
JOB-100211,CyberShield,Madrid,España,Fullstack Developer,TypeScript,Spark,Senior,44125.0,Remoto,,,,,jobs
JOB-100212,QuantumWare,Medellin,Colombia,Data Analyst,TypeScript,Django,Senior,16001.0,Presencial,,,,,jobs
JOB-100213,GreenBit,Concepción,Chile,BI Developer,Java,Spring,Junior,21779.0,Remoto,,,,,jobs
JOB-100214,GreenBit,Cusco,Perú,Data Scientist,Scala,Django,Senior,24.066,Híbrido,,,,,jobs
JOB-100215,CyberShield,Rosario,Argentina,BI Developer,Java,Node.js,Junior,,Remoto,,,,,jobs
JOB-100216,NeoTech,Santiago,Chile,Backend Developer,C#,Django,Junior,18280.0,Híbrido,,,,,jobs
JOB-100217,RocketSoft,Barcelona,España,Data Analyst,C#,Spark,Mid,34623.0,Presencial,,,,,jobs
JOB-100218,NeoTech,BUENOS AIRES,Argentina,Data Analyst,JavaScript,Spring,Mid,20.117,Híbrido,,,,,jobs
JOB-100219,QuantumWare,Barranquilla,Colombia,Fullstack Developer,R,Spark,Junior,9.319,Presencial,,,,,jobs
JOB-100220,BluePixel,New York,USA,Fullstack Developer,C#,.NET,Junior,82.753,Remoto,,,,,jobs
JOB-100221,DevOpsLab,Monterrey,México,Cybersecurity Analyst,Kotlin,FastAPI,Junior,14785.0,Híbrido,2025-12-07,2025.0,12.0,4.0,jobs
