id_persona,edad,ciudad,país,lenguajes_dominio,frameworks_dominio,certificaciones,años_experiencia,nivel_educativo,área_trabajo_actual,salario_actual_usd,source
PER-90020,27.0,Valencia,España,JavaScript,.NET,AWS CCP,2.0,Técnico,Data Science,56.718,profiles
PER-90021,27.0,Austin,USA,Kotlin|TypeScript,React|Spring,Unknown,1.0,Técnico,Data Science,,profiles
PER-90022,28.0,Bogotá,Colombia,Python|Kotlin|TypeScript,Spring|Flask,AWS CCP,4.0,Pregrado,BI/Analytics,17.958,profiles
PER-90023,33.0,CDMX,México,Scala|C#|Swift,Spring|Node.js,Azure Fundamentals,2.0,Tecnólogo,Frontend,17113.0,profiles
PER-90024,39.0,Lima,Perú,C#|Python,Node.js,Scrum Master,3.0,Pregrado,Data Science,19743.0,profiles
PER-90025,22.0,Cartagena,Colombia,C#,React|Spring,Unknown,2.0,Autodidacta,DevOps,16650.0,profiles
PER-90026,19.0,Santiago,Chile,TypeScript|PHP,Flask,Cisco CCNA,5.0,Técnico,Cloud,16343.0,profiles
PER-90027,28.0,Cartagena,Colombia,Swift,FastAPI|Spark,Scrum Master,0.0,Pregrado,Cloud,16532.0,profiles
PER-90028,25.0,Seattle,USA,PHP|Java,Spring|Vue,Azure Fundamentals,1.0,Posgrado,Ciberseguridad,109.488,profiles
PER-90029,27.0,Cali,Colombia,PHP,Spring,Scrum Master|Azure Fundamentals,6.0,Pregrado,BI/Analytics,14234.0,profiles
PER-90030,26.0,Monterrey,México,php|python|r,Spark,Unknown,4.0,Pregrado,Cloud,12729.0,profiles
PER-90031,36.0,Valparaíso,Chile,JavaScript|Java,Angular|React,GCP ACE|None,0.0,Pregrado,Cloud,17555.0,profiles
PER-90032,23.0,Lima,Perú,TypeScript|R,Node.js|Flask,Scrum Master|AWS CCP,3.0,Posgrado,Cloud,15978.0,profiles
PER-90033,21.0,Valencia,España,C#|Java,Angular|.NET,Azure Fundamentals,6.0,Pregrado,BI/Analytics,46214.0,profiles
PER-90034,23.0,BUENOS AIRES,Argentina,JavaScript,Laravel,Azure Fundamentals|GCP ACE,5.0,Autodidacta,Cloud,24773.0,profiles
PER-90035,31.0,Barcelona,España,r|swift,Flask|Angular,AWS CCP,5.0,Pregrado,IA,49518.0,profiles
PER-90036,34.0,Valparaíso,Chile,R|Scala,Flask,GCP ACE,1.0,Pregrado,Data Science,20562.0,profiles
PER-90037,28.0,PUEBLA,México,Kotlin,Node.js|React,Scrum Master|Cisco CCNA,6.0,Pregrado,IA,15.807,profiles
PER-90038,25.0,Córdoba,Argentina,TypeScript,Flask,Azure Fundamentals,1.0,Autodidacta,Data Science,17.751,profiles
PER-90039,,Buenos Aires,Argentina,Go|Scala,Node.js,Scrum Master|GCP ACE,5.0,Pregrado,Backend,23387.0,profiles
PER-90040,19.0,Puebla,México,C#|JavaScript|Python,Spring|Angular,Scrum Master,3.0,Técnico,Backend,16799.0,profiles
PER-90041,22.0,Buenos Aires,Argentina,javascript|python|r,Angular|.NET,AWS CCP,4.0,Pregrado,Data Science,18865.0,profiles
PER-90042,23.0,Concepción,Chile,PHP,.NET|Vue,GCP ACE,3.0,Tecnólogo,Backend,21658.0,profiles
PER-90043,33.0,Cusco,Perú,Java|TypeScript,Node.js,AWS CCP,2.0,Tecnólogo,BI/Analytics,22858.0,profiles
PER-90044,23.0,SANTIAGO,Chile,swift|java,Spark,GCP ACE,3.0,Autodidacta,Cloud,27.353,profiles
PER-90045,31.0,Arequipa,Perú,Swift|Python,Spring|Angular,Azure Fundamentals,1.0,Posgrado,Ciberseguridad,13.684,profiles
PER-90046,34.0,Miami,USA,C#|TypeScript,Vue|React,Scrum Master,4.0,Posgrado,IA,136.256,profiles
PER-90047,38.0,Santiago,Chile,scala|python,Vue|Django,Cisco CCNA|AWS CCP,3.0,Autodidacta,IA,40824.0,profiles
PER-90048,32.0,Buenos Aires,Argentina,Swift|Scala,Flask,Unknown,1.0,Pregrado,BI/Analytics,12677.0,profiles
PER-90049,27.0,Córdoba,Argentina,c#|php,Vue|.NET,Azure Fundamentals,4.0,Tecnólogo,Data Science,14790.0,profiles
PER-90050,20.0,VALPARAÍSO,Chile,C#,Flask,Cisco CCNA,1.0,Autodidacta,Backend,30098.0,profiles
PER-90051,34.0,Bucaramanga,Colombia,Swift|Python,FastAPI,AWS CCP,4.0,Pregrado,Data Science,13059.0,profiles
PER-90052,18.0,Arequipa,Perú,Kotlin|Go|Python,.NET,Azure Fundamentals,4.0,Autodidacta,Backend,22824.0,profiles
PER-90053,27.0,Cusco,Perú,Kotlin|TypeScript|R,Spring,AWS CCP,4.0,Técnico,Backend,14.408,profiles
PER-90054,29.0,Valparaíso,Chile,Scala|Python,Laravel,Scrum Master|Cisco CCNA,1.0,Posgrado,DevOps,22253.0,profiles
PER-90055,29.0,Lima,Perú,c#,Angular|Flask,Unknown,3.0,Posgrado,Backend,15257.0,profiles
PER-90056,18.0,MIAMI,USA,Kotlin,.NET,GCP ACE,7.0,Técnico,Ciberseguridad,68954.0,profiles
PER-90057,25.0,Córdoba,Argentina,R|Kotlin,Flask,Unknown,0.0,Tecnólogo,Frontend,31216.0,profiles
PER-90058,39.0,Monterrey,México,JavaScript,Django,Cisco CCNA,1.0,Técnico,Backend,13712.0,profiles
PER-90059,35.0,santiago,Chile,PHP|JavaScript,.NET,GCP ACE,1.0,Posgrado,DevOps,25666.0,profiles
PER-90060,31.0,Miami,USA,kotlin|c#,.NET|Node.js,AWS CCP|GCP ACE,3.0,Posgrado,Backend,73314.0,profiles
PER-90061,41.0,Concepción,Chile,C#|TypeScript,Angular,GCP ACE,4.0,Posgrado,BI/Analytics,20401.0,profiles
PER-90062,24.0,New York,USA,R|Go,Angular,AWS CCP,2.0,Tecnólogo,Frontend,69371.0,profiles
PER-90063,,Buenos Aires,Argentina,JavaScript|Kotlin,FastAPI,Azure Fundamentals|None,2.0,Técnico,IA,36761.0,profiles
PER-90064,20.0,???,México,Kotlin|TypeScript,Angular,AWS CCP|Cisco CCNA,2.0,Autodidacta,Backend,23279.0,profiles
PER-90065,29.0,Barcelona,España,Scala,Vue|Spark,Unknown,6.0,Pregrado,Backend,32030.0,profiles
PER-90066,30.0,Concepción,Chile,python|javascript,Node.js,Scrum Master|Cisco CCNA,1.0,Pregrado,DevOps,26.849,profiles
PER-90067,39.0,New York,USA,Swift,React,AWS CCP,1.0,Pregrado,BI/Analytics,69058.0,profiles
PER-90068,38.0,Concepción,Chile,C#,Laravel|Angular,GCP ACE|Cisco CCNA,2.0,Autodidacta,Data Science,28.346,profiles
PER-90069,34.0,Córdoba,Argentina,PHP|Scala,Vue,GCP ACE,4.0,Tecnólogo,DevOps,22.504,profiles
PER-90070,29.0,CDMX,México,Scala|JavaScript,Angular,Cisco CCNA,2.0,Tecnólogo,IA,21090.0,profiles
PER-90071,26.0,Cusco,Perú,Python|Java,FastAPI,Azure Fundamentals,5.0,Pregrado,DevOps,22.978,profiles
PER-90072,38.0,???,Colombia,Java|JavaScript|Scala,Vue|Node.js,Cisco CCNA|Azure Fundamentals,6.0,Autodidacta,Cloud,9214.0,profiles
PER-90073,34.0,Puebla,México,Swift,Spark|FastAPI,Unknown,0.0,Posgrado,Data Science,19880.0,profiles
PER-90074,27.0,Madrid,España,C#,Spark,GCP ACE|Cisco CCNA,5.0,Tecnólogo,DevOps,33778.0,profiles
PER-90075,40.0,San Francisco,USA,JavaScript|TypeScript,Flask,Azure Fundamentals,6.0,Técnico,Backend,79.273,profiles
PER-90076,36.0,Concepción,Chile,R|Kotlin|Swift,Node.js|Laravel,Scrum Master|GCP ACE,2.0,Posgrado,Ciberseguridad,22906.0,profiles
PER-90077,32.0,Guadalajara,México,Kotlin,Spring|Laravel,Unknown,0.0,Pregrado,BI/Analytics,22230.0,profiles
PER-90078,32.0,Valencia,España,swift,.NET,None,3.0,Técnico,Data Science,38380.0,profiles
PER-90079,38.0,Arequipa,Perú,Java|TypeScript,Flask|FastAPI,Cisco CCNA,3.0,Posgrado,Cloud,12363.0,profiles
PER-90080,33.0,Concepción,Chile,Swift,Laravel|.NET,None,0.0,Técnico,Frontend,36452.0,profiles
PER-90081,22.0,Cusco,Perú,Scala|Go,Vue,Cisco CCNA|GCP ACE,1.0,Autodidacta,Ciberseguridad,30211.0,profiles
PER-90082,21.0,Córdoba,Argentina,JavaScript|Kotlin,Django,Azure Fundamentals,2.0,Tecnólogo,Cloud,14305.0,profiles
PER-90083,18.0,AUSTIN,USA,PHP|Kotlin,Laravel,Cisco CCNA,4.0,Autodidacta,BI/Analytics,99049.0,profiles
PER-90084,22.0,Valparaíso,Chile,Scala|Java|Kotlin,Node.js,Scrum Master,2.0,Autodidacta,Frontend,19474.0,profiles
PER-90085,36.0,Barranquilla,Colombia,python,Node.js,Scrum Master|AWS CCP,3.0,Técnico,Data Science,18963.0,profiles
PER-90086,25.0,Valparaíso,Chile,PHP|TypeScript,.NET|Spring,Azure Fundamentals,4.0,Pregrado,Backend,21.477,profiles
PER-90087,23.0,Austin,USA,Kotlin|R,Spark|.NET,None|Azure Fundamentals,4.0,Pregrado,Cloud,91345.0,profiles
PER-90088,30.0,Valparaíso,Chile,PHP,Flask,Azure Fundamentals,6.0,Autodidacta,Cloud,33024.0,profiles
PER-90089,18.0,Santiago,Chile,R,.NET,Scrum Master|Azure Fundamentals,5.0,Técnico,DevOps,27319.0,profiles
PER-90090,24.0,Lima,Perú,TypeScript|Scala,Spring,Scrum Master|Azure Fundamentals,3.0,Pregrado,Data Science,19212.0,profiles
PER-90091,31.0,???,Argentina,JavaScript|Go|Swift,Spark,Scrum Master,0.0,Autodidacta,Cloud,16194.0,profiles
PER-90092,36.0,Medellín,Colombia,JavaScript|Swift,Vue|Spring,AWS CCP,7.0,Tecnólogo,IA,9567.0,profiles
PER-90093,24.0,Sevilla,España,TypeScript|PHP|JavaScript,Spark,Scrum Master|Cisco CCNA,0.0,Posgrado,Data Science,49122.0,profiles
PER-90094,39.0,???,España,Swift|PHP|Python,Angular|FastAPI,Cisco CCNA,3.0,Posgrado,Frontend,24201.0,profiles
PER-90095,38.0,New York,USA,Java|Swift,Laravel|Angular,Cisco CCNA|Azure Fundamentals,5.0,Pregrado,Frontend,58868.0,profiles
PER-90096,27.0,Cartagena,Colombia,Swift|JavaScript,Vue|FastAPI,AWS CCP,3.0,Posgrado,BI/Analytics,11641.0,profiles
PER-90097,32.0,New York,USA,Scala,Django,Scrum Master,0.0,Tecnólogo,Frontend,,profiles
PER-90098,28.0,New York,USA,Python,Flask|React,Scrum Master,5.0,Posgrado,Frontend,119630.0,profiles
PER-90099,33.0,Guadalajara,México,Scala,Laravel,Scrum Master,3.0,Técnico,Backend,14274.0,profiles
PER-90100,31.0,Cartagena,Colombia,C#|TypeScript,Spark|Vue,Azure Fundamentals|None,1.0,Tecnólogo,DevOps,9006.0,profiles
PER-90101,37.0,???,USA,swift|php,Spark|Angular,Azure Fundamentals,2.0,Técnico,DevOps,73388.0,profiles
PER-90102,,Buenos Aires,Argentina,C#|Go,Vue|Flask,Cisco CCNA,0.0,Técnico,DevOps,12630.0,profiles
PER-90103,26.0,Buenos Aires,Argentina,TypeScript|Kotlin|Scala,Vue,None,4.0,Técnico,IA,19060.0,profiles
PER-90104,20.0,Córdoba,Argentina,Go|TypeScript|R,Node.js,Cisco CCNA,0.0,Tecnólogo,Data Science,16.123,profiles
PER-90105,29.0,Barcelona,España,Go,Django|Node.js,Scrum Master,6.0,Autodidacta,Backend,44892.0,profiles
PER-90106,32.0,Valparaíso,Chile,Go|Java,Django|FastAPI,GCP ACE,0.0,Tecnólogo,Ciberseguridad,22530.0,profiles
PER-90107,30.0,Puebla,México,Java|TypeScript,Vue,AWS CCP,2.0,Pregrado,IA,14.065,profiles
PER-90108,28.0,Arequipa,Perú,Java|Python,Vue|Flask,None|AWS CCP,2.0,Pregrado,BI/Analytics,20841.0,profiles
PER-90109,28.0,Seattle,USA,PHP,Angular,Scrum Master,2.0,Pregrado,Frontend,71314.0,profiles
PER-90110,31.0,Córdoba,Argentina,kotlin|php,Spring,Scrum Master,6.0,Técnico,Ciberseguridad,17615.0,profiles
PER-90111,39.0,Barranquilla,Colombia,R|Java,Laravel|Node.js,Cisco CCNA,2.0,Tecnólogo,Cloud,10.326,profiles
PER-90112,26.0,Guadalajara,México,Java|JavaScript,Laravel,GCP ACE,0.0,Técnico,BI/Analytics,21258.0,profiles
PER-90113,20.0,Santiago,Chile,Swift|Kotlin,Laravel|Angular,Azure Fundamentals|Cisco CCNA,0.0,Técnico,IA,17091.0,profiles
PER-90114,24.0,SEATTLE,USA,r|kotlin,Vue,AWS CCP,4.0,Posgrado,Ciberseguridad,78479.0,profiles
PER-90115,31.0,Concepción,Chile,Java|R,Django|Spring,AWS CCP|GCP ACE,2.0,Tecnólogo,DevOps,21469.0,profiles
PER-90116,33.0,Cusco,Perú,Kotlin|TypeScript,Spark,AWS CCP|Azure Fundamentals,1.0,Técnico,IA,19.605,profiles
PER-90117,32.0,Cali,Colombia,JavaScript,Django,GCP ACE|None,3.0,Técnico,Frontend,14384.0,profiles
PER-90118,18.0,New York,USA,c#|php,Spark|Django,Azure Fundamentals|Scrum Master,4.0,Autodidacta,BI/Analytics,81367.0,profiles
PER-90119,31.0,Austin,USA,TypeScript|PHP|Scala,Flask|FastAPI,GCP ACE,4.0,Posgrado,Cloud,72865.0,profiles
PER-90120,29.0,Buenos Aires,Argentina,Go|Swift|JavaScript,Node.js,Cisco CCNA,1.0,Pregrado,BI/Analytics,37479.0,profiles
PER-90121,36.0,Buenos Aires,Argentina,Go|PHP|Swift,.NET|Spark,Azure Fundamentals,3.0,Tecnólogo,Cloud,16665.0,profiles
PER-90122,28.0,BARRANQUILLA,Colombia,C#|Python,Angular|Django,Azure Fundamentals,3.0,Posgrado,Cloud,9197.0,profiles
PER-90123,26.0,Barranquilla,Colombia,Kotlin|Java,.NET,AWS CCP|None,5.0,Pregrado,Backend,14101.0,profiles
PER-90124,,LIMA,Perú,Swift|C#|JavaScript,Django,GCP ACE|Azure Fundamentals,1.0,Autodidacta,Ciberseguridad,23379.0,profiles
PER-90125,26.0,Cusco,Perú,C#|Python|Java,React,AWS CCP,4.0,Tecnólogo,Cloud,25.598,profiles
PER-90126,29.0,???,Colombia,PHP|R,FastAPI,Scrum Master,2.0,Autodidacta,Frontend,17.42,profiles
PER-90127,18.0,Medellín,Colombia,R|C#,FastAPI|Angular,Azure Fundamentals,2.0,Autodidacta,Backend,21.857,profiles
PER-90128,36.0,Miami,USA,Go,.NET|Spark,None|Cisco CCNA,3.0,Autodidacta,BI/Analytics,102.22,profiles
PER-90129,31.0,Santiago,Chile,JavaScript|PHP,Spring|Node.js,AWS CCP,0.0,Posgrado,DevOps,25427.0,profiles
PER-90130,22.0,San Francisco,USA,Java|Go,Flask,None|AWS CCP,4.0,Técnico,Backend,,profiles
PER-90131,28.0,Cali,Colombia,JavaScript,Django,GCP ACE|Cisco CCNA,1.0,Técnico,IA,15500.0,profiles
PER-90132,27.0,Valparaíso,Chile,c#|typescript,Node.js,AWS CCP,4.0,Posgrado,Backend,24483.0,profiles
PER-90133,31.0,Guadalajara,México,TypeScript|Kotlin,Flask,Scrum Master|Cisco CCNA,7.0,Pregrado,Frontend,19902.0,profiles
PER-90134,18.0,???,USA,C#|Java,Flask,Scrum Master,3.0,Tecnólogo,DevOps,93879.0,profiles
PER-90135,18.0,Buenos Aires,Argentina,Swift|Python,Vue|Django,AWS CCP,0.0,Tecnólogo,BI/Analytics,15419.0,profiles
PER-90136,27.0,Madrid,España,Swift,Django|Spring,Unknown,1.0,Posgrado,DevOps,40788.0,profiles
PER-90137,26.0,Concepción,Chile,typescript|javascript|kotlin,FastAPI|Spring,Unknown,0.0,Autodidacta,Frontend,37.532,profiles
PER-90138,32.0,Cusco,Perú,TypeScript|Scala,Angular,AWS CCP,5.0,Pregrado,Ciberseguridad,13954.0,profiles
PER-90139,31.0,CDMX,México,Kotlin,Spring,Scrum Master,3.0,Pregrado,Data Science,20418.0,profiles
PER-90140,31.0,Monterrey,México,R|Java|Go,Spark|Flask,Cisco CCNA,1.0,Técnico,Data Science,18427.0,profiles
PER-90141,24.0,Puebla,México,C#|Swift,Node.js,Cisco CCNA,4.0,Autodidacta,IA,27.73,profiles
PER-90142,27.0,Barranquilla,Colombia,Scala|Go,Flask,Cisco CCNA|AWS CCP,5.0,Posgrado,DevOps,11286.0,profiles
PER-90143,19.0,Bucaramanga,Colombia,Scala|Go,.NET,AWS CCP|Cisco CCNA,1.0,Autodidacta,Ciberseguridad,17300.0,profiles
PER-90144,20.0,CDMX,México,r|kotlin,.NET|Laravel,Cisco CCNA,5.0,Autodidacta,DevOps,27468.0,profiles
PER-90145,33.0,Valparaíso,Chile,JavaScript|C#,Vue|Laravel,Cisco CCNA,3.0,Autodidacta,Ciberseguridad,29.004,profiles
PER-90146,21.0,Monterrey,México,R|Scala,Django,Cisco CCNA|GCP ACE,1.0,Autodidacta,Data Science,27345.0,profiles
PER-90147,18.0,Puebla,México,Scala|TypeScript,.NET,Cisco CCNA,1.0,Posgrado,DevOps,18956.0,profiles
PER-90148,31.0,Córdoba,Argentina,TypeScript|JavaScript|Kotlin,Vue,AWS CCP,2.0,Autodidacta,Data Science,12332.0,profiles
PER-90149,33.0,Valparaíso,Chile,Scala,.NET|Spark,Scrum Master|AWS CCP,0.0,Tecnólogo,BI/Analytics,35995.0,profiles
PER-90150,28.0,Sevilla,España,PHP,.NET,Unknown,4.0,Pregrado,BI/Analytics,58778.0,profiles
PER-90151,23.0,Córdoba,Argentina,TypeScript|Python,Node.js,Azure Fundamentals|Cisco CCNA,5.0,Técnico,Backend,26271.0,profiles
PER-90152,25.0,San Francisco,USA,R|PHP,React,Unknown,3.0,Pregrado,Backend,80192.0,profiles
PER-90153,34.0,austin,USA,php|scala,Django|.NET,GCP ACE,3.0,Tecnólogo,DevOps,118413.0,profiles
PER-90154,30.0,???,Chile,Python|JavaScript,.NET|Node.js,Azure Fundamentals,0.0,Posgrado,BI/Analytics,44920.0,profiles
PER-90155,18.0,Miami,USA,PHP,Spark,AWS CCP|GCP ACE,1.0,Tecnólogo,BI/Analytics,82173.0,profiles
PER-90156,40.0,Concepción,Chile,Scala|PHP,Laravel|Node.js,Scrum Master|Azure Fundamentals,0.0,Posgrado,Backend,38714.0,profiles
PER-90157,29.0,seattle,USA,C#,Vue,None|AWS CCP,4.0,Tecnólogo,Data Science,104399.0,profiles
PER-90158,25.0,MONTERREY,México,PHP|Java|Go,Vue|.NET,None|AWS CCP,0.0,Posgrado,BI/Analytics,16.292,profiles
PER-90159,,Santiago,Chile,TypeScript,Django,GCP ACE|AWS CCP,5.0,Técnico,Frontend,38940.0,profiles
PER-90160,33.0,SEVILLA,España,TypeScript|JavaScript,Node.js|Django,None|AWS CCP,0.0,Tecnólogo,Frontend,27.144,profiles
PER-90161,32.0,Miami,USA,Python|Java|Swift,Vue|Angular,GCP ACE,5.0,Pregrado,Frontend,83258.0,profiles
PER-90162,35.0,Valencia,España,swift|java,Django|React,None,0.0,Posgrado,Data Science,23743.0,profiles
PER-90163,28.0,Lima,Perú,PHP|Scala,Django|Angular,Unknown,3.0,Técnico,Ciberseguridad,15538.0,profiles
PER-90164,19.0,Lima,Perú,Swift|C#|Go,Laravel|Spring,AWS CCP,2.0,Posgrado,Backend,19.357,profiles
PER-90165,25.0,Cartagena,Colombia,C#|Go,Spring,Azure Fundamentals|AWS CCP,3.0,Pregrado,Ciberseguridad,12747.0,profiles
PER-90166,27.0,Cusco,Perú,C#,Spring,AWS CCP,3.0,Técnico,Backend,17785.0,profiles
PER-90167,26.0,Córdoba,Argentina,Swift,FastAPI,Scrum Master,0.0,Autodidacta,IA,15984.0,profiles
PER-90168,31.0,Buenos Aires,Argentina,r|python|php,React,AWS CCP,4.0,Posgrado,Ciberseguridad,28791.0,profiles
PER-90169,36.0,Barranquilla,Colombia,PHP,Spring,Cisco CCNA,2.0,Posgrado,Frontend,10211.0,profiles
PER-90170,27.0,Madrid,España,R|Scala,Node.js|FastAPI,Scrum Master,1.0,Técnico,Data Science,32675.0,profiles
PER-90171,,Barranquilla,Colombia,Go,.NET|Angular,Azure Fundamentals,0.0,Pregrado,Cloud,12.279,profiles
PER-90172,19.0,Lima,Perú,typescript|c#,Flask|React,GCP ACE,2.0,Posgrado,DevOps,14085.0,profiles
PER-90173,24.0,Rosario,Argentina,r|java,Vue|Node.js,None|GCP ACE,3.0,Posgrado,IA,18908.0,profiles
PER-90174,26.0,Concepción,Chile,php,Angular,AWS CCP|Azure Fundamentals,1.0,Pregrado,BI/Analytics,18490.0,profiles
PER-90175,30.0,ROSARIO,Argentina,R|Kotlin,Flask,None|Scrum Master,0.0,Tecnólogo,Ciberseguridad,26424.0,profiles
PER-90176,33.0,Miami,USA,Go|TypeScript|Kotlin,.NET,Scrum Master,3.0,Pregrado,DevOps,120398.0,profiles
PER-90177,31.0,Guadalajara,México,Swift|Go,Laravel,GCP ACE,5.0,Tecnólogo,Cloud,11942.0,profiles
PER-90178,24.0,Buenos Aires,Argentina,go,.NET,None|GCP ACE,0.0,Tecnólogo,Data Science,15878.0,profiles
PER-90179,25.0,Arequipa,Perú,Python,FastAPI|Node.js,Unknown,3.0,Pregrado,Cloud,11804.0,profiles
PER-90180,28.0,Seattle,USA,Python,FastAPI|Flask,Azure Fundamentals,0.0,Posgrado,Ciberseguridad,74445.0,profiles
PER-90181,21.0,Puebla,México,Kotlin|C#,Flask,GCP ACE,4.0,Técnico,DevOps,17696.0,profiles
PER-90182,26.0,Valparaíso,Chile,TypeScript,Spark,Unknown,4.0,Técnico,Ciberseguridad,24446.0,profiles
PER-90183,24.0,Cusco,Perú,Go|PHP,Angular,Cisco CCNA,3.0,Autodidacta,Backend,15.109,profiles
PER-90184,28.0,Miami,USA,R|Java|C#,Spring|FastAPI,Cisco CCNA|AWS CCP,1.0,Autodidacta,Frontend,105807.0,profiles
PER-90185,33.0,Sevilla,España,TypeScript|Go|R,.NET,GCP ACE,5.0,Técnico,BI/Analytics,43913.0,profiles
PER-90186,31.0,Santiago,Chile,Python|Swift|Go,Angular|Laravel,Cisco CCNA|None,2.0,Pregrado,Cloud,24877.0,profiles
PER-90187,41.0,San Francisco,USA,TypeScript|C#,Angular|Django,Unknown,3.0,Tecnólogo,Backend,99744.0,profiles
PER-90188,27.0,Valencia,España,Scala|TypeScript,Django|FastAPI,AWS CCP|None,3.0,Autodidacta,Backend,48110.0,profiles
PER-90189,29.0,Sevilla,España,Java|C#,Spark|Django,GCP ACE|Azure Fundamentals,4.0,Autodidacta,Frontend,56591.0,profiles
PER-90190,28.0,Bogotá,Colombia,Go,.NET|Node.js,Scrum Master,1.0,Autodidacta,IA,16866.0,profiles
PER-90191,35.0,CDMX,México,Swift|Scala|PHP,Django|Node.js,Cisco CCNA|Azure Fundamentals,1.0,Posgrado,DevOps,23678.0,profiles
PER-90192,18.0,San Francisco,USA,PHP,Django,Azure Fundamentals,4.0,Tecnólogo,Data Science,112335.0,profiles
PER-90193,27.0,Rosario,Argentina,r|php|kotlin,Django|Node.js,AWS CCP|Azure Fundamentals,0.0,Posgrado,BI/Analytics,20720.0,profiles
PER-90194,18.0,Valparaíso,Chile,PHP|JavaScript|Go,Node.js|Flask,None|AWS CCP,1.0,Autodidacta,Frontend,16678.0,profiles
PER-90195,25.0,Cusco,Perú,c#|swift,FastAPI,Cisco CCNA|Azure Fundamentals,5.0,Posgrado,Backend,28944.0,profiles
PER-90196,39.0,Cali,Colombia,Python|Java,Flask,Cisco CCNA,3.0,Pregrado,DevOps,9726.0,profiles
PER-90197,24.0,Concepción,Chile,Swift|Go,Django|Spark,Unknown,4.0,Autodidacta,Cloud,27199.0,profiles
PER-90198,36.0,Medellín,Colombia,Swift|Scala|C#,Flask,Azure Fundamentals,4.0,Tecnólogo,IA,7691.0,profiles
PER-90199,,Concepción,Chile,Java|Kotlin,React|Node.js,Azure Fundamentals,1.0,Pregrado,Frontend,25918.0,profiles
PER-90200,23.0,Barcelona,España,C#|Kotlin|TypeScript,React|FastAPI,GCP ACE,3.0,Pregrado,DevOps,68.551,profiles
PER-90201,39.0,Puebla,México,JavaScript|TypeScript,Spark,Scrum Master|None,3.0,Pregrado,IA,15935.0,profiles
PER-90202,33.0,New York,USA,Java|R,Node.js|Spring,Unknown,3.0,Autodidacta,Backend,70827.0,profiles
PER-90203,,???,España,javascript|kotlin|typescript,Spring|Spark,Cisco CCNA,4.0,Pregrado,Cloud,59073.0,profiles
PER-90204,27.0,Santiago,Chile,Swift|JavaScript|Python,Spark,AWS CCP|GCP ACE,3.0,Autodidacta,Ciberseguridad,22788.0,profiles
PER-90205,23.0,Barcelona,España,Kotlin|C#,React|Spark,AWS CCP,1.0,Tecnólogo,DevOps,44.896,profiles
PER-90206,25.0,Sevilla,España,Kotlin,Spring|React,Scrum Master|GCP ACE,4.0,Tecnólogo,BI/Analytics,28180.0,profiles
