ID_Persona,Edad,Ciudad,País,Lenguajes_Dominio,Frameworks_Dominio,Certificaciones,Años_Experiencia,Nivel_Educativo,Área_Trabajo_Actual,Salario_Actual_USD
PER-90036,34,Valparaíso,Chile,R|Scala,Flask,GCP ACE,1.0,Pregrado,Data Science,$20562
PER-90037,28,PUEBLA,México,Kotlin,Node.js|React,Scrum Master|Cisco CCNA,6.0,Pregrado,IA,US$ 15.807
PER-90038,25,Córdoba,Argentina,TypeScript,Flask,Azure Fundamentals,1.0,Autodidacta,Data Science,US$ 17.751
PER-90039,,Buenos Aires,Argentina,Go|Scala,Node.js,Scrum Master|GCP ACE,5.0,Pregrado,Backend,USD 23387
PER-90040,19,Puebla ,México,C#|JavaScript|Python,Spring|Angular,Scrum Master,3.0,Técnico,Backend,$16799
PER-90041,22,Buenos Aires,Argentina,javascript|python|r,Angular|.NET,AWS CCP,4.0,Pregrado,Data Science,USD 18865
PER-90042,23,Concepción,Chile,PHP,.NET|Vue,GCP ACE,3.0,Tecnólogo,Backend,"$21,658"
PER-90043,33,Cusco,Perú,Java|TypeScript,Node.js,AWS CCP,2.0,Tecnólogo,BI/Analytics,"$22,858"
PER-90044,23,SANTIAGO,Chile,swift|java,Spark,GCP ACE,3.0,Autodidacta,Cloud,US$ 27.353
PER-90045,31,Arequipa,Perú,Swift|Python,Spring|Angular,Azure Fundamentals,1.0,Posgrado,Ciberseguridad,US$ 13.684
PER-90046,34,Miami ,USA,C#|TypeScript,Vue|React,Scrum Master,4.0,Posgrado,IA,US$ 136.256
PER-90047,38,Santiago,Chile,scala|python,Vue|Django,Cisco CCNA|AWS CCP,3.0,Autodidacta,IA,40824
PER-90048,32,Buenos Aires,Argentina,Swift|Scala,Flask,None,1.0,Pregrado,BI/Analytics,12677
PER-90049,27,Córdoba,Argentina,c#|php,Vue|.NET,Azure Fundamentals,4.0,Tecnólogo,Data Science,$14790
PER-90050,20,VALPARAÍSO,Chile,C#,Flask,Cisco CCNA,1.0,Autodidacta,Backend,$30098
PER-90051,34,Bucaramanga,Colombia,Swift|Python,FastAPI,AWS CCP,4.0,Pregrado,Data Science,$13059
PER-90052,18,Arequipa ,Perú,Kotlin|Go|Python,.NET,Azure Fundamentals ,4.0,Autodidacta,Backend,$22824
PER-90053,27,Cusco,Perú,Kotlin|TypeScript|R,Spring,AWS CCP,4.0,Técnico,Backend,US$ 14.408
PER-90054,29,Valparaíso,Chile,Scala|Python,Laravel,Scrum Master|Cisco CCNA,1.0,Posgrado,DevOps,USD 22253
PER-90055,29,Lima,Perú,c#,Angular|Flask,None,3.0,Posgrado,Backend,"$15,257"
PER-90056,18,MIAMI,USA,Kotlin,.NET,GCP ACE,7.0,Técnico,Ciberseguridad,"$68,954"
PER-90057,25,Córdoba,Argentina,R|Kotlin,Flask,None,0.0,Tecnólogo,Frontend,$31216
PER-90058,39,Monterrey,México,JavaScript,Django,Cisco CCNA,1.0,Técnico,Backend,USD 13712
PER-90059,35,santiago,Chile,PHP|JavaScript,.NET,GCP ACE,1.0,Posgrado,DevOps,USD 25666
PER-90060,31,Miami,USA,kotlin|c#,.NET|Node.js,AWS CCP|GCP ACE,3.0,Posgrado,Backend,USD 73314
PER-90061,41,Concepción,Chile,C#|TypeScript,Angular,GCP ACE ,4.0,Posgrado,BI/Analytics,"$20,401"
PER-90062,24,New York ,USA,R|Go,Angular,AWS CCP,2.0,Tecnólogo,Frontend,69371
PER-90063,,Buenos Aires,Argentina,JavaScript|Kotlin,FastAPI,Azure Fundamentals|None,2.0,Técnico,IA,36761
PER-90064,20,???,México,Kotlin|TypeScript,Angular,AWS CCP|Cisco CCNA,2.0,Autodidacta,Backend,23279
PER-90065,29,Barcelona,España,Scala,Vue|Spark,None,6.0,Pregrado,Backend,$32030
PER-90066,30,Concepción,Chile,python|javascript,Node.js,Scrum Master|Cisco CCNA,1.0,Pregrado,DevOps,US$ 26.849
PER-90067,39,New York,USA,Swift,React,AWS CCP,1.0,Pregrado,BI/Analytics,USD 69058
PER-90068,38,Concepción,Chile,C#,Laravel|Angular,GCP ACE|Cisco CCNA,2.0,Autodidacta,Data Science,US$ 28.346
PER-90069,34,Córdoba ,Argentina,PHP|Scala,Vue,GCP ACE ,4.0,Tecnólogo,DevOps,US$ 22.504
PER-90070,29,CDMX,México,Scala|JavaScript,Angular,Cisco CCNA,2.0,Tecnólogo,IA,"$21,090"
PER-90071,26,Cusco,Perú,Python|Java,FastAPI,Azure Fundamentals,5.0,Pregrado,DevOps,US$ 22.978
PER-90072,38,???,Colombia,Java|JavaScript|Scala,Vue|Node.js,Cisco CCNA|Azure Fundamentals,6.0,Autodidacta,Cloud,$9214
PER-90073,34,Puebla,México,Swift,Spark|FastAPI,None,0.0,Posgrado,Data Science,"$19,880"
PER-90074,27,Madrid,España,C#,Spark,GCP ACE|Cisco CCNA,5.0,Tecnólogo,DevOps,"$33,778"
PER-90075,40,San Francisco,USA,JavaScript|TypeScript,Flask,Azure Fundamentals ,6.0,Técnico,Backend,US$ 79.273
PER-90076,36,Concepción,Chile,R|Kotlin|Swift,Node.js|Laravel,Scrum Master|GCP ACE,2.0,Posgrado,Ciberseguridad,USD 22906
PER-90077,32,Guadalajara,México,Kotlin,Spring|Laravel,None,0.0,Pregrado,BI/Analytics,"$22,230"
PER-90078,32,Valencia,España,swift,.NET,None ,3.0,Técnico,Data Science,38380
PER-90079,38,Arequipa,Perú,Java|TypeScript,Flask|FastAPI,Cisco CCNA,3.0,Posgrado,Cloud,"$12,363"
PER-90080,33,Concepción,Chile,Swift,Laravel|.NET,None ,0.0,Técnico,Frontend,$36452
PER-90081,22,Cusco,Perú,Scala|Go,Vue,Cisco CCNA|GCP ACE ,1.0,Autodidacta,Ciberseguridad,USD 30211
PER-90082,21,Córdoba,Argentina,JavaScript|Kotlin,Django,Azure Fundamentals,2.0,Tecnólogo,Cloud,USD 14305
PER-90083,18,AUSTIN,USA,PHP|Kotlin,Laravel,Cisco CCNA,4.0,Autodidacta,BI/Analytics,99049
PER-90084,22,Valparaíso,Chile,Scala|Java|Kotlin,Node.js,Scrum Master,2.0,Autodidacta,Frontend,"$19,474"
PER-90085,36,Barranquilla,Colombia,python,Node.js,Scrum Master|AWS CCP,,Técnico,Data Science,"$18,963"
PER-90086,25,Valparaíso ,Chile,PHP|TypeScript,.NET|Spring,Azure Fundamentals,4.0,Pregrado,Backend,US$ 21.477
PER-90087,23,Austin,USA,Kotlin|R,Spark|.NET,None|Azure Fundamentals,4.0,Pregrado,Cloud,"$91,345"
PER-90088,30,Valparaíso,Chile,PHP,Flask,Azure Fundamentals,6.0,Autodidacta,Cloud,33024
PER-90089,18,Santiago,Chile,R,.NET,Scrum Master|Azure Fundamentals,5.0,Técnico,DevOps,USD 27319
PER-90090,24,Lima,Perú,TypeScript|Scala,Spring,Scrum Master|Azure Fundamentals,3.0,Pregrado,Data Science,USD 19212
PER-90091,31,???,Argentina,JavaScript|Go|Swift,Spark,Scrum Master,0.0,Autodidacta,Cloud,"$16,194"
PER-90092,36,Medellín,Colombia,JavaScript|Swift,Vue|Spring,AWS CCP,7.0,Tecnólogo,IA,"$9,567"
PER-90093,24,Sevilla,España,TypeScript|PHP|JavaScript,Spark,Scrum Master|Cisco CCNA,0.0,Posgrado,Data Science,$49122
PER-90094,39,???,España,Swift|PHP|Python,Angular|FastAPI,Cisco CCNA ,3.0,Posgrado,Frontend,$24201
PER-90095,38,New York,USA,Java|Swift,Laravel|Angular,Cisco CCNA|Azure Fundamentals ,5.0,Pregrado,Frontend,"$58,868"
PER-90096,27,Cartagena,Colombia,Swift|JavaScript,Vue|FastAPI,AWS CCP,3.0,Posgrado,BI/Analytics,11641
PER-90097,32,New York,USA,Scala,Django,Scrum Master,0.0,Tecnólogo,Frontend,$150743
PER-90098,28,New York,USA,Python,Flask|React,Scrum Master ,5.0,Posgrado,Frontend,119630
PER-90099,33,Guadalajara,México,Scala,Laravel,Scrum Master,3.0,Técnico,Backend,USD 14274
PER-90100,31,Cartagena,Colombia,C#|TypeScript,Spark|Vue,Azure Fundamentals|None,1.0,Tecnólogo,DevOps,USD 9006
PER-90101,37,???,USA,swift|php,Spark|Angular,Azure Fundamentals,2.0,Técnico,DevOps,73388
PER-90102,,Buenos Aires,Argentina,C#|Go,Vue|Flask,Cisco CCNA,0.0,Técnico,DevOps,12630
PER-90103,26,Buenos Aires,Argentina,TypeScript|Kotlin|Scala,Vue,None ,4.0,Técnico,IA,$19060
PER-90104,20,Córdoba,Argentina,Go|TypeScript|R,Node.js,Cisco CCNA ,0.0,Tecnólogo,Data Science,US$ 16.123
PER-90105,29,Barcelona,España,Go,Django|Node.js,Scrum Master,6.0,Autodidacta,Backend,"$44,892"
PER-90106,32,Valparaíso,Chile,Go|Java,Django|FastAPI,GCP ACE ,0.0,Tecnólogo,Ciberseguridad,USD 22530
PER-90107,30,Puebla,México,Java|TypeScript,Vue,AWS CCP,2.0,Pregrado,IA,US$ 14.065
PER-90108,28,Arequipa,Perú,Java|Python,Vue|Flask,None|AWS CCP,2.0,Pregrado,BI/Analytics,"$20,841"
PER-90109,28,Seattle,USA,PHP,Angular,Scrum Master,2.0,Pregrado,Frontend,71314
PER-90110,31,Córdoba,Argentina,kotlin|php,Spring,Scrum Master,6.0,Técnico,Ciberseguridad,$17615
PER-90111,39,Barranquilla,Colombia,R|Java,Laravel|Node.js,Cisco CCNA,2.0,Tecnólogo,Cloud,US$ 10.326
PER-90112,26,Guadalajara,México,Java|JavaScript,Laravel,GCP ACE,0.0,Técnico,BI/Analytics,$21258
PER-90113,20,Santiago,Chile,Swift|Kotlin,Laravel|Angular,Azure Fundamentals|Cisco CCNA,0.0,Técnico,IA,USD 17091
PER-90114,24,SEATTLE,USA,r|kotlin,Vue,AWS CCP,4.0,Posgrado,Ciberseguridad,78479
PER-90115,31,Concepción,Chile,Java|R,Django|Spring,AWS CCP|GCP ACE ,2.0,Tecnólogo,DevOps,21469
PER-90116,33,Cusco ,Perú,Kotlin|TypeScript,Spark,AWS CCP|Azure Fundamentals,1.0,Técnico,IA,US$ 19.605
PER-90117,32,Cali,Colombia,JavaScript,Django,GCP ACE|None,3.0,Técnico,Frontend,$14384
PER-90118,18,New York,USA,c#|php,Spark|Django,Azure Fundamentals|Scrum Master,4.0,Autodidacta,BI/Analytics,81367
PER-90119,31,Austin,USA,TypeScript|PHP|Scala,Flask|FastAPI,GCP ACE,4.0,Posgrado,Cloud,"$72,865"
PER-90120,29,Buenos Aires,Argentina,Go|Swift|JavaScript,Node.js,Cisco CCNA,1.0,Pregrado,BI/Analytics,37479
PER-90121,36,Buenos Aires,Argentina,Go|PHP|Swift,.NET|Spark,Azure Fundamentals,3.0,Tecnólogo,Cloud,16665
PER-90122,28,BARRANQUILLA,Colombia,C#|Python,Angular|Django,Azure Fundamentals,3.0,Posgrado,Cloud,9197
PER-90123,26,Barranquilla,Colombia,Kotlin|Java,.NET,AWS CCP|None ,5.0,Pregrado,Backend,14101
PER-90124,,LIMA,Perú,Swift|C#|JavaScript,Django,GCP ACE|Azure Fundamentals,1.0,Autodidacta,Ciberseguridad,"$23,379"
PER-90125,26,Cusco,Perú,C#|Python|Java,React,AWS CCP ,4.0,Tecnólogo,Cloud,US$ 25.598
PER-90126,29,???,Colombia,PHP|R,FastAPI,Scrum Master,2.0,Autodidacta,Frontend,US$ 17.420
PER-90127,18,Medellín,Colombia,R|C#,FastAPI|Angular,Azure Fundamentals ,2.0,Autodidacta,Backend,US$ 21.857
PER-90128,36,Miami,USA,Go,.NET|Spark,None|Cisco CCNA,3.0,Autodidacta,BI/Analytics,US$ 102.220
PER-90129,31,Santiago,Chile,JavaScript|PHP,Spring|Node.js,AWS CCP,0.0,Posgrado,DevOps,USD 25427
PER-90130,22,San Francisco,USA,Java|Go,Flask,None|AWS CCP ,4.0,Técnico,Backend,148474
PER-90131,28,Cali,Colombia,JavaScript,Django,GCP ACE|Cisco CCNA,1.0,Técnico,IA,$15500
PER-90132,27,Valparaíso,Chile,c#|typescript,Node.js,AWS CCP,4.0,Posgrado,Backend,24483
PER-90133,31,Guadalajara,México,TypeScript|Kotlin,Flask,Scrum Master|Cisco CCNA,7.0,Pregrado,Frontend,USD 19902
PER-90134,18,???,USA,C#|Java,Flask,Scrum Master,3.0,Tecnólogo,DevOps,USD 93879
PER-90135,18,Buenos Aires,Argentina,Swift|Python,Vue|Django,AWS CCP,0.0,Tecnólogo,BI/Analytics,"$15,419"
PER-90136,27,Madrid,España,Swift,Django|Spring,None,1.0,Posgrado,DevOps,"$40,788"
PER-90137,26,Concepción,Chile,typescript|javascript|kotlin,FastAPI|Spring,None,0.0,Autodidacta,Frontend,US$ 37.532
PER-90138,32,Cusco,Perú,TypeScript|Scala,Angular,AWS CCP ,5.0,Pregrado,Ciberseguridad,13954
PER-90139,31,CDMX,México,Kotlin,Spring,Scrum Master,3.0,Pregrado,Data Science,$20418
PER-90140,31,Monterrey,México,R|Java|Go,Spark|Flask,Cisco CCNA,1.0,Técnico,Data Science,"$18,427"
PER-90141,24,Puebla,México,C#|Swift,Node.js,Cisco CCNA ,4.0,Autodidacta,IA,US$ 27.730
PER-90142,27,Barranquilla,Colombia,Scala|Go,Flask,Cisco CCNA|AWS CCP,5.0,Posgrado,DevOps,"$11,286"
PER-90143,19,Bucaramanga,Colombia,Scala|Go,.NET,AWS CCP|Cisco CCNA,1.0,Autodidacta,Ciberseguridad,USD 17300
PER-90144,20,CDMX,México,r|kotlin,.NET|Laravel,Cisco CCNA,5.0,Autodidacta,DevOps,"$27,468"
PER-90145,33,Valparaíso,Chile,JavaScript|C#,Vue|Laravel,Cisco CCNA,,Autodidacta,Ciberseguridad,US$ 29.004
PER-90146,21,Monterrey,México,R|Scala,Django,Cisco CCNA|GCP ACE,1.0,Autodidacta,Data Science,"$27,345"
PER-90147,18,Puebla,México,Scala|TypeScript,.NET,Cisco CCNA,1.0,Posgrado,DevOps,18956
PER-90148,31,Córdoba,Argentina,TypeScript|JavaScript|Kotlin,Vue,AWS CCP,2.0,Autodidacta,Data Science,12332
PER-90149,33,Valparaíso,Chile,Scala,.NET|Spark,Scrum Master|AWS CCP,0.0,Tecnólogo,BI/Analytics,35995
PER-90150,28,Sevilla,España,PHP,.NET,None,4.0,Pregrado,BI/Analytics,USD 58778
PER-90151,23,Córdoba,Argentina,TypeScript|Python,Node.js,Azure Fundamentals|Cisco CCNA,5.0,Técnico,Backend,USD 26271
PER-90152,25,San Francisco,USA,R|PHP,React,None,3.0,Pregrado,Backend,$80192
PER-90153,34,austin,USA,php|scala,Django|.NET,GCP ACE,3.0,Tecnólogo,DevOps,"$118,413"
PER-90154,30,???,Chile,Python|JavaScript,.NET|Node.js,Azure Fundamentals,0.0,Posgrado,BI/Analytics,USD 44920
PER-90155,18,Miami ,USA,PHP,Spark,AWS CCP|GCP ACE,1.0,Tecnólogo,BI/Analytics,"$82,173"
PER-90156,40,Concepción,Chile,Scala|PHP,Laravel|Node.js,Scrum Master|Azure Fundamentals,0.0,Posgrado,Backend,USD 38714
PER-90157,29,seattle,USA,C#,Vue,None|AWS CCP,4.0,Tecnólogo,Data Science,$104399
PER-90158,25,MONTERREY,México,PHP|Java|Go,Vue|.NET,None|AWS CCP,0.0,Posgrado,BI/Analytics,US$ 16.292
PER-90159,,Santiago,Chile,TypeScript,Django,GCP ACE|AWS CCP,5.0,Técnico,Frontend,"$38,940"
PER-90160,33,SEVILLA,España,TypeScript|JavaScript,Node.js|Django,None|AWS CCP,0.0,Tecnólogo,Frontend,US$ 27.144
PER-90161,32,Miami,USA,Python|Java|Swift,Vue|Angular,GCP ACE ,5.0,Pregrado,Frontend,83258
PER-90162,35,Valencia,España,swift|java,Django|React,None ,0.0,Posgrado,Data Science,23743
PER-90163,28,Lima,Perú,PHP|Scala,Django|Angular,None,3.0,Técnico,Ciberseguridad,USD 15538
PER-90164,19,Lima,Perú,Swift|C#|Go,Laravel|Spring,AWS CCP,2.0,Posgrado,Backend,US$ 19.357
PER-90165,25,Cartagena,Colombia,C#|Go,Spring,Azure Fundamentals|AWS CCP,3.0,Pregrado,Ciberseguridad,USD 12747
PER-90166,27,Cusco,Perú,C#,Spring,AWS CCP,3.0,Técnico,Backend,USD 17785
PER-90167,26,Córdoba,Argentina,Swift,FastAPI,Scrum Master,0.0,Autodidacta,IA,USD 15984
PER-90168,31,Buenos Aires,Argentina,r|python|php,React,AWS CCP ,4.0,Posgrado,Ciberseguridad,$28791
PER-90169,36,Barranquilla,Colombia,PHP,Spring,Cisco CCNA ,2.0,Posgrado,Frontend,$10211
PER-90170,27,Madrid,España,R|Scala,Node.js|FastAPI,Scrum Master,1.0,Técnico,Data Science,32675
PER-90171,,Barranquilla,Colombia,Go,.NET|Angular,Azure Fundamentals ,0.0,Pregrado,Cloud,US$ 12.279
PER-90172,19,Lima,Perú,typescript|c#,Flask|React,GCP ACE,2.0,Posgrado,DevOps,$14085
PER-90173,24,Rosario,Argentina,r|java,Vue|Node.js,None|GCP ACE,3.0,Posgrado,IA,"$18,908"
PER-90174,26,Concepción,Chile,php,Angular,AWS CCP|Azure Fundamentals,1.0,Pregrado,BI/Analytics,"$18,490"
PER-90175,30,ROSARIO,Argentina,R|Kotlin,Flask,None|Scrum Master,0.0,Tecnólogo,Ciberseguridad,26424
PER-90176,33,Miami,USA,Go|TypeScript|Kotlin,.NET,Scrum Master ,3.0,Pregrado,DevOps,"$120,398"
PER-90177,31,Guadalajara,México,Swift|Go,Laravel,GCP ACE,5.0,Tecnólogo,Cloud,USD 11942
PER-90178,24,Buenos Aires,Argentina,go,.NET,None|GCP ACE,0.0,Tecnólogo,Data Science,15878
PER-90179,25,Arequipa,Perú,Python,FastAPI|Node.js,None,3.0,Pregrado,Cloud,"$11,804"
PER-90180,28,Seattle,USA,Python,FastAPI|Flask,Azure Fundamentals ,0.0,Posgrado,Ciberseguridad,USD 74445
PER-90181,21,Puebla,México,Kotlin|C#,Flask,GCP ACE,4.0,Técnico,DevOps,"$17,696"
PER-90182,26,Valparaíso,Chile,TypeScript,Spark,None,4.0,Técnico,Ciberseguridad,$24446
PER-90183,24,Cusco,Perú,Go|PHP,Angular,Cisco CCNA,3.0,Autodidacta,Backend,US$ 15.109
PER-90184,28,Miami,USA,R|Java|C#,Spring|FastAPI,Cisco CCNA|AWS CCP,1.0,Autodidacta,Frontend,$105807
PER-90185,33,Sevilla ,España,TypeScript|Go|R,.NET,GCP ACE,5.0,Técnico,BI/Analytics,$43913
PER-90186,31,Santiago,Chile,Python|Swift|Go,Angular|Laravel,Cisco CCNA|None,2.0,Pregrado,Cloud,24877
PER-90187,41,San Francisco,USA,TypeScript|C#,Angular|Django,None,3.0,Tecnólogo,Backend,$99744
PER-90188,27,Valencia,España,Scala|TypeScript,Django|FastAPI,AWS CCP|None,3.0,Autodidacta,Backend,"$48,110"
PER-90189,29,Sevilla,España,Java|C#,Spark|Django,GCP ACE|Azure Fundamentals ,4.0,Autodidacta,Frontend,$56591
PER-90190,28,Bogotá,Colombia,Go,.NET|Node.js,Scrum Master,1.0,Autodidacta,IA,$16866
PER-90191,35,CDMX,México,Swift|Scala|PHP,Django|Node.js,Cisco CCNA|Azure Fundamentals,1.0,Posgrado,DevOps,"$23,678"
PER-90192,18,San Francisco,USA,PHP,Django,Azure Fundamentals,4.0,Tecnólogo,Data Science,"$112,335"
PER-90193,27,Rosario,Argentina,r|php|kotlin,Django|Node.js,AWS CCP|Azure Fundamentals,0.0,Posgrado,BI/Analytics,20720
PER-90194,18,Valparaíso,Chile,PHP|JavaScript|Go,Node.js|Flask,None|AWS CCP,1.0,Autodidacta,Frontend,USD 16678
PER-90195,25,Cusco,Perú,c#|swift,FastAPI,Cisco CCNA|Azure Fundamentals,5.0,Posgrado,Backend,"$28,944"
PER-90196,39,Cali,Colombia,Python|Java,Flask,Cisco CCNA,3.0,Pregrado,DevOps,"$9,726"
PER-90197,24,Concepción,Chile,Swift|Go,Django|Spark,None,4.0,Autodidacta,Cloud,USD 27199
PER-90198,36,Medellín,Colombia,Swift|Scala|C#,Flask,Azure Fundamentals,4.0,Tecnólogo,IA,$7691
PER-90199,,Concepción,Chile,Java|Kotlin,React|Node.js,Azure Fundamentals,1.0,Pregrado,Frontend,$25918
PER-90200,23,Barcelona,España,C#|Kotlin|TypeScript,React|FastAPI,GCP ACE,3.0,Pregrado,DevOps,US$ 68.551
PER-90201,39,Puebla,México,JavaScript|TypeScript,Spark,Scrum Master|None,3.0,Pregrado,IA,15935
PER-90202,33,New York,USA,Java|R,Node.js|Spring,None,3.0,Autodidacta,Backend,$70827
PER-90203,,???,España,javascript|kotlin|typescript,Spring|Spark,Cisco CCNA,4.0,Pregrado,Cloud,$59073
PER-90204,27,Santiago,Chile,Swift|JavaScript|Python,Spark,AWS CCP|GCP ACE,3.0,Autodidacta,Ciberseguridad,$22788
PER-90205,23,Barcelona,España,Kotlin|C#,React|Spark,AWS CCP,1.0,Tecnólogo,DevOps,US$ 44.896
PER-90206,25,Sevilla,España,Kotlin,Spring|React,Scrum Master|GCP ACE,4.0,Tecnólogo,BI/Analytics,28180
PER-90207,26,Barcelona,España,Scala|Java,.NET|Spring,GCP ACE|AWS CCP,4.0,Técnico,Frontend,"$26,254"
PER-90208,39,Valencia,España,C#|TypeScript,Spark|.NET,GCP ACE,2.0,Autodidacta,IA,$39317
PER-90209,26,New York,USA,C#|Kotlin,Angular,Cisco CCNA|AWS CCP,0.0,Tecnólogo,Frontend,"$60,611"
PER-90210,31,???,Argentina,Go|Swift|Java,FastAPI,AWS CCP|Scrum Master,4.0,Posgrado,Data Science,15368
PER-90211,23,Córdoba,Argentina,Scala|Kotlin,.NET|React,Cisco CCNA,3.0,Pregrado,Data Science,USD 21234
PER-90212,29,Valencia,España,javascript|scala,Node.js,GCP ACE,1.0,Autodidacta,Backend,"$57,709"
PER-90213,22,Puebla,México,Java,Node.js,AWS CCP|Azure Fundamentals,1.0,Pregrado,Frontend,US$ 15.986
PER-90214,32,Barcelona,España,PHP|TypeScript,FastAPI,Azure Fundamentals|AWS CCP,3.0,Posgrado,Ciberseguridad,$59253
PER-90215,22,Cusco,Perú,Python|Go|Scala,.NET|FastAPI,Scrum Master,4.0,Técnico,Data Science,$13688
PER-90216,24,Medellín ,Colombia,R,Flask|Node.js,None|AWS CCP,1.0,Pregrado,Frontend,13067
PER-90217,25,Córdoba,Argentina,Kotlin,Node.js|React,Scrum Master,,Pregrado,Data Science,US$ 16.054
PER-90218,28,Buenos Aires ,Argentina,python|php,Angular|Node.js,AWS CCP,2.0,Técnico,Data Science,20748
PER-90219,26,Concepción,Chile,python|java|r,Spring|Django,Azure Fundamentals|None,0.0,Pregrado,Ciberseguridad,$31625
PER-90220,28,New York,USA,R|Go,Angular|Django,Azure Fundamentals|GCP ACE,3.0,Posgrado,IA,$120713
PER-90221,31,BOGOTÁ,Colombia,Kotlin,Vue|React,GCP ACE|Scrum Master,0.0,Técnico,Cloud,USD 10404
PER-90222,36,Santiago ,Chile,Go|C#,Spark,AWS CCP|None,1.0,Tecnólogo,Cloud,US$ 32.941
PER-90223,23,Puebla,México,Swift|Kotlin,Vue,Cisco CCNA,2.0,Tecnólogo,BI/Analytics,USD 17917
