ID_Oferta,Empresa,Ciudad,País,Cargo,Lenguaje,Framework,Nivel_Seniority,Salario_Anual_USD,Modalidad,Fecha_Publicación
JOB-100027,RocketSoft,Monterrey,México,Data Analyst,Swift,Django,Junior,$13524,Presencial,2024-07-15
JOB-100028,CloudForge,CONCEPCIÓN,Chile,Cloud Architect,PHP,Laravel,Senior,USD 22986,Híbrido,06-11-2024
JOB-100029,NeoTech,Puebla,México,Data Engineer,Swift,Angular,Senior,US$ 29.166,Híbrido,2024/06/24
JOB-100030,NeoTech,New York,USA,DevOps Engineer,Java,React,Senior,US$ 124.691,Presencial,2025/08/10
JOB-100031,DevOpsLab,Buenos Aires,Argentina,Cloud Architect,C#,Flask,Mid,"$17,772",Remoto,02-06-2024
JOB-100032,SoftSmart,New York,USA,Fullstack Developer,PHP,Flask,Senior,"$154,395",Híbrido,07-02-2022
JOB-100033,BluePixel,Bogotá,Colombia,Cybersecurity Analyst,Java,Flask,Junior,$7222,Remoto,08/07/2023
JOB-100034,Atlas Systems,Valparaíso,Chile,DevOps Engineer,JavaScript,Vue,Senior,USD 37811,Híbrido,28/04/2022
JOB-100035,CloudForge,arequipa,Perú,Frontend Developer,Python,Spark,Junior,USD 9940,Remoto,2023-06-26
JOB-100036,Lambda Solutions,CDMX,México,Cybersecurity Analyst,R,Angular,Senior,US$ 22.697,Remoto,2022/11/27
JOB-100037,SoftSmart,Lima,Perú,Frontend Developer,Scala,Angular,Senior,$20648,Híbrido,2023-12-12
JOB-100038,CodeWorks,Puebla ,México,Data Scientist,Python,Vue,Senior,30726,Remoto,10-09-2025
JOB-100039,QuantumWare,San Francisco,USA,Cybersecurity Analyst,Go,React,Junior,$96134,Híbrido,2023-12-13
JOB-100040,DataNova,CDMX ,México,Data Analyst,Scala,Angular,Mid,USD 17110,Presencial,2025/10/05
JOB-100041,BluePixel,SEATTLE,USA,Data Scientist,Kotlin,Spring,Junior,"$85,584",Híbrido,2025/01/25
JOB-100042,BluePixel,SEATTLE,USA,Backend Developer,PHP,Spring,Junior,"$73,948",Presencial,05/09/2025
JOB-100043,DataNova,Rosario,Argentina,Data Analyst,Go,Flask,Junior,US$ 17.363,Híbrido,16/09/2023
JOB-100044,DevOpsLab,???,España,MLOps Engineer,TypeScript,.NET,Mid,US$ 33.708,Presencial,10/08/2025
JOB-100045,GreenBit,Cusco,Perú,Data Engineer,Swift,Spring,Senior,US$ 18.742,Presencial,11/04/2025
JOB-100046,CodeWorks,Córdoba,Argentina,ML Engineer,Scala,Node.js,Junior,USD 11672,Presencial,24/12/2024
JOB-100047,DataNova,Bucaramanga,Colombia,Cloud Architect,Java,Vue,Senior,"$17,765",Híbrido,2022/06/02
JOB-100048,SoftSmart,???,Perú,Backend Developer,Scala,FastAPI,Mid,US$ 24.068,Híbrido,06/04/2022
JOB-100049,DevOpsLab,Valencia,España,Fullstack Developer,Go,Spark,Senior,USD 55349,Remoto,2024-09-14
JOB-100050,CyberShield,Miami,USA,Data Engineer,C#,Spark,Mid,"$87,524",Híbrido,31/08/2022
JOB-100051,CloudForge,Cartagena,Colombia,Cloud Architect,Python,Angular,Mid,$15441,Híbrido,03/03/2024
JOB-100052,SoftSmart,Valencia,España,Data Analyst,TypeScript,Flask,Junior,$31482,Presencial,2025/07/17
JOB-100053,Vertex AI,Medellín ,Colombia,Backend Developer,Kotlin,FastAPI,Mid,"$12,182",Presencial,12-07-2024
JOB-100054,DevOpsLab,CALI,Colombia,DevOps Engineer,PHP,.NET,Mid,12454,Híbrido,03/09/2022
JOB-100055,BluePixel,Rosario ,Argentina,Frontend Developer,PHP,Flask,Mid,US$ 19.602,Híbrido,2022/04/09
JOB-100056,BluePixel,Rosario,Argentina,MLOps Engineer,JavaScript,React,Mid,$19071,Híbrido,01-03-2022
JOB-100057,SoftSmart,Córdoba,Argentina,Data Engineer,Java,,Senior,US$ 21.973,Presencial,10-08-2023
JOB-100058,DevOpsLab,Austin,USA,ML Engineer,Kotlin,.NET,Mid,"$102,148",Híbrido,05/09/2025
JOB-100059,QuantumWare,,Colombia,Data Analyst,JavaScript,Spark,Junior,$9463,Presencial,27-03-2023
JOB-100060,Orion Cloud,CDMX,México,DevOps Engineer,JavaScript,Vue,Junior,"$16,977",Remoto,16/10/2023
JOB-100061,SoftSmart,Barcelona,España,Data Scientist,R,.NET,Mid,USD 35897,Remoto,2024/10/17
JOB-100062,Vertex AI,barcelona,España,ML Engineer,Scala,Vue,Senior,USD 37987,Híbrido,29-03-2024
JOB-100063,BluePixel,Sevilla,España,Data Scientist,JavaScript,Django,Mid,$37432,Remoto,30-05-2022
JOB-100064,Orion Cloud,Guadalajara,México,Cloud Architect,C#,Flask,Junior,US$ 18.071,Presencial,18-08-2025
JOB-100065,CodeWorks,Bucaramanga,Colombia,Data Scientist,JavaScript,React,Senior,15833,Presencial,31-05-2023
JOB-100066,CyberShield,Santiago,Chile,Data Analyst,Java,Angular,Senior,USD 30328,Presencial,2022-01-03
JOB-100067,Orion Cloud,rosario,Argentina,Frontend Developer,PHP,Spark,Junior,US$ 13.135,Remoto,2024/04/23
JOB-100068,SoftSmart,Cali ,Colombia,Cloud Architect,Scala,Spark,Mid,US$ 10.109,Híbrido,10-04-2023
JOB-100069,Lambda Solutions,BUENOS AIRES,Argentina,Data Engineer,R,Node.js,Senior,"$26,739",Presencial,2024-10-30
JOB-100070,SoftSmart,Monterrey,México,Frontend Developer,C#,React,Mid,14814,Remoto,01-07-2025
JOB-100071,NeoTech,Santiago,Chile,Cloud Architect,R,Spark,Junior,USD 24492,Remoto,18/02/2022
JOB-100072,CodeWorks,New York,USA,ML Engineer,R,FastAPI,Senior,127361,Híbrido,26/01/2023
JOB-100073,Orion Cloud,Córdoba,Argentina,Data Scientist,Go,Spark,Senior,US$ 28.456,Remoto,2022-08-12
JOB-100074,CloudForge,Lima,Perú,Fullstack Developer,R,Flask,Senior,30636,Híbrido,2022-06-29
JOB-100075,SoftSmart,Austin,USA,Fullstack Developer,Swift,FastAPI,Junior,"$93,137",Remoto,17-07-2025
JOB-100076,QuantumWare,Bogotá,Colombia,Data Scientist,R,Django,Mid,"$11,617",Presencial,2023/11/26
JOB-100077,CodeWorks,Bucaramanga,Colombia,Frontend Developer,PHP,Angular,Mid,USD 12597,Remoto,2023-04-24
JOB-100078,Orion Cloud,???,México,DevOps Engineer,Go,.NET,Mid,"$19,984",Híbrido,06/11/2022
JOB-100079,Lambda Solutions,Santiago,Chile,Cloud Architect,PHP,Laravel,Junior,19421,Remoto,2024-04-15
JOB-100080,RocketSoft,Buenos Aires,Argentina,Cybersecurity Analyst,Swift,Node.js,Junior,US$ 11.732,Presencial,22/06/2022
JOB-100081,RocketSoft,Puebla,México,Data Engineer,Kotlin,Spring,Junior,$15814,Presencial,2025-01-07
JOB-100082,BluePixel,Austin,USA,Frontend Developer,Go,Laravel,Mid,"$107,744",Híbrido,22/05/2023
JOB-100083,DevOpsLab,Barranquilla,Colombia,Frontend Developer,TypeScript,React,Mid,12747,Presencial,13/12/2024
JOB-100084,CyberShield,Barranquilla,Colombia,MLOps Engineer,Kotlin,Django,Junior,$8270,Híbrido,2024-02-05
JOB-100085,NeoTech,Cusco,Perú,Data Analyst,Python,React,Senior,USD 24459,Híbrido,15/11/2024
JOB-100086,Atlas Systems,Concepción,Chile,MLOps Engineer,Python,Flask,Senior,US$ 31.898,Remoto,2024/01/26
JOB-100087,SoftSmart,Barcelona,España,Frontend Developer,Python,Laravel,Senior,US$ 50.808,Híbrido,2025/10/21
JOB-100088,BluePixel,Valparaíso,Chile,Data Analyst,C#,Django,Mid,29863,Híbrido,21/09/2025
JOB-100089,CloudForge,Seattle,USA,MLOps Engineer,JavaScript,.NET,Senior,163515,Híbrido,2022/04/16
JOB-100090,Vertex AI,Barcelona,España,DevOps Engineer,R,Django,Mid,$41815,Remoto,13-01-2022
JOB-100091,GreenBit,Seattle,USA,Data Analyst,Java,.NET,Senior,143947,Remoto,16/04/2022
JOB-100092,QuantumWare,BARCELONA,España,Data Analyst,TypeScript,Laravel,Mid,$41856,Remoto,03/12/2024
JOB-100093,CyberShield,CDMX,México,DevOps Engineer,Kotlin,React,Mid,US$ 17.966,Híbrido,20-04-2022
JOB-100094,IA Factory,Santiago,Chile,MLOps Engineer,C#,Laravel,Mid,"$24,716",Presencial,2023-03-23
JOB-100095,IA Factory,Guadalajara,México,DevOps Engineer,PHP,Flask,Junior,US$ 12.944,Presencial,2022/03/20
JOB-100096,Orion Cloud,Córdoba,Argentina,Cybersecurity Analyst,Scala,Angular,Senior,USD 27765,Híbrido,2025/09/11
JOB-100097,Orion Cloud,Cordoba,Argentina,ML Engineer,Python,Django,Senior,USD 37491,Híbrido,03-01-2023
JOB-100098,CloudForge,Barranquilla,Colombia,ML Engineer,PHP,.NET,Mid,US$ 13.564,Remoto,27/07/2025
JOB-100099,Lambda Solutions,Cusco,Perú,Data Engineer,Swift,Flask,Junior,US$ 13.661,Remoto,2022-05-16
JOB-100100,RocketSoft,CDMX,México,Frontend Developer,JavaScript,Spark,Senior,$23416,Remoto,2023/10/26
JOB-100101,Orion Cloud,Monterrey,México,ML Engineer,Go,Vue,Mid,US$ 15.665,Híbrido,2024-02-02
JOB-100102,QuantumWare,SEATTLE,USA,ML Engineer,Scala,Angular,Senior,,Remoto,2024-12-22
JOB-100103,Vertex AI,Madrid,España,Cloud Architect,Swift,,Senior,"$56,324",Presencial,2024/01/31
JOB-100104,Vertex AI,Lima,Perú,BI Developer,JavaScript,Node.js,Mid,$14103,Presencial,2022/04/09
JOB-100105,Atlas Systems,New York,USA,Frontend Developer,Scala,Laravel,Senior,USD 142702,Remoto,19-08-2023
JOB-100106,Vertex AI,Concepción,Chile,Data Scientist,JavaScript,FastAPI,Junior,"$18,291",Remoto,2025/03/07
JOB-100107,Vertex AI,MIAMI,USA,Cybersecurity Analyst,C#,.NET,Senior,US$ 161.463,Presencial,30/08/2024
JOB-100108,NeoTech,???,Colombia,Data Engineer,JavaScript,FastAPI,Junior,$9825,Híbrido,2024/04/03
JOB-100109,CodeWorks,Sevilla,España,MLOps Engineer,Swift,Node.js,Senior,US$ 66.907,Remoto,2022-12-05
JOB-100110,DataNova,Bogota,Colombia,DevOps Engineer,JavaScript,React,Junior,USD 8940,Presencial,08/02/2023
JOB-100111,GreenBit,Cali,Colombia,BI Developer,JavaScript,Vue,Mid,"$11,481",Presencial,2025-01-07
JOB-100112,GreenBit,Sevilla,España,Data Engineer,Kotlin,Flask,Senior,US$ 55.592,Híbrido,2023-04-21
JOB-100113,Atlas Systems,,Chile,Data Engineer,Python,Angular,Senior,US$ 40.543,Híbrido,07/08/2025
JOB-100114,DataNova,,México,ML Engineer,Go,React,Senior,27339,Remoto,2024/03/07
JOB-100115,QuantumWare,,Argentina,MLOps Engineer,Scala,Vue,Mid,$16299,Híbrido,2023/04/24
JOB-100116,QuantumWare,Guadalajara,México,BI Developer,TypeScript,Flask,Senior,"$25,891",Remoto,27/06/2025
JOB-100117,DevOpsLab,CDMX,México,Data Engineer,Python,Django,Junior,US$ 14.448,Remoto,2025/04/24
JOB-100118,CloudForge,Guadalajara,México,Data Engineer,R,Flask,Junior,USD 13473,Presencial,2022/06/29
JOB-100119,DevOpsLab,Austin,USA,Data Analyst,Scala,React,Mid,US$ 85.764,Híbrido,2023/06/10
JOB-100120,Vertex AI,Arequipa,Perú,Fullstack Developer,TypeScript,Vue,Mid,USD 22718,Híbrido,05-03-2022
JOB-100121,CyberShield,Santiago,Chile,Fullstack Developer,Kotlin,Django,Senior,USD 32950,Presencial,12/08/2023
JOB-100122,SoftSmart,Buenos Aires,Argentina,Frontend Developer,Python,Django,Mid,$17462,Híbrido,2025/04/28
JOB-100123,Atlas Systems,Barcelona,España,BI Developer,JavaScript,Angular,Junior,$33305,Presencial,15-06-2022
JOB-100124,CyberShield,Córdoba,Argentina,MLOps Engineer,PHP,Node.js,Junior,"$16,313",Híbrido,2025-08-15
JOB-100125,BluePixel,Puebla,México,Frontend Developer,R,Vue,Senior,"$24,913",Híbrido,2022-09-17
JOB-100126,Lambda Solutions,Concepción,Chile,Cybersecurity Analyst,JavaScript,FastAPI,Senior,US$ 39.101,Híbrido,11/06/2023
JOB-100127,Orion Cloud,,USA,MLOps Engineer,C#,Vue,Junior,81570,Presencial,16/11/2022
JOB-100128,Vertex AI,???,USA,ML Engineer,C#,Node.js,Junior,US$ 80.128,Remoto,05-02-2023
JOB-100129,DevOpsLab,CDMX,México,Frontend Developer,Go,.NET,Mid,USD 20603,Híbrido,27-02-2023
JOB-100130,DataNova,Valencia,España,DevOps Engineer,R,React,Senior,US$ 55.463,Híbrido,21-05-2025
JOB-100131,NeoTech,Sevilla,España,DevOps Engineer,TypeScript,Laravel,Senior,USD 48276,Presencial,2023-01-07
JOB-100132,Lambda Solutions,Puebla,México,Frontend Developer,Scala,Flask,Mid,USD 17021,Híbrido,17-05-2024
JOB-100133,GreenBit,Valencia,España,Cybersecurity Analyst,Scala,Spark,Junior,"$28,024",Híbrido,2022-08-06
JOB-100134,SoftSmart,Cartagena,Colombia,ML Engineer,C#,Vue,Mid,12377,Presencial,2024-09-01
JOB-100135,Vertex AI,Buenos Aires,Argentina,Cybersecurity Analyst,PHP,.NET,Senior,23472,Híbrido,2024-11-18
JOB-100136,Vertex AI,Córdoba,Argentina,MLOps Engineer,Python,Angular,Mid,USD 14502,Híbrido,2024/05/11
JOB-100137,CyberShield,Puebla,México,Backend Developer,Go,.NET,Senior,USD 25533,Remoto,22/05/2022
JOB-100138,NeoTech,Arequipa,Perú,ML Engineer,PHP,Spark,Senior,$20147,Presencial,23/08/2025
JOB-100139,RocketSoft,Rosario,Argentina,Fullstack Developer,C#,Angular,Senior,US$ 19.801,Presencial,16-01-2023
JOB-100140,Atlas Systems,Seattle,USA,Fullstack Developer,C#,Spark,Mid,$100319,Presencial,13/01/2024
JOB-100141,QuantumWare,Lima,Perú,Data Scientist,Java,Laravel,Mid,16080,Presencial,2025-04-07
JOB-100142,SoftSmart,Santiago,Chile,Data Analyst,Scala,Angular,Mid,$26860,Remoto,2024/07/14
JOB-100143,SoftSmart,Madrid,España,DevOps Engineer,Swift,Spring,Senior,USD 48963,Remoto,09/10/2024
JOB-100144,Orion Cloud,seattle,USA,MLOps Engineer,Java,Vue,Junior,USD 63209,Híbrido,2024-10-06
JOB-100145,DevOpsLab,CDMX,México,Data Engineer,Kotlin,React,Mid,14642,Híbrido,26-02-2025
JOB-100146,Orion Cloud,Medellín,Colombia,Fullstack Developer,R,.NET,Senior,15502,Remoto,2025-06-02
JOB-100147,Lambda Solutions,???,Perú,Data Analyst,Swift,FastAPI,Mid,"$17,261",Híbrido,04/07/2025
JOB-100148,Vertex AI,Lima,Perú,Fullstack Developer,Kotlin,Vue,Senior,$22087,Híbrido,2023-05-31
JOB-100149,BluePixel,Valparaíso,Chile,Fullstack Developer,Kotlin,.NET,Mid,$23945,Remoto,02-09-2025
JOB-100150,Lambda Solutions,Concepción,Chile,Backend Developer,PHP,Angular,Junior,USD 15391,Híbrido,09-02-2025
JOB-100151,CodeWorks,Medellín,Colombia,DevOps Engineer,Go,Flask,Junior,$9620,Presencial,2025-09-09
JOB-100152,QuantumWare,???,España,BI Developer,JavaScript,Spark,Senior,US$ 38.886,Presencial,26/07/2024
JOB-100153,IA Factory,Cali,Colombia,Data Scientist,R,Flask,Senior,$16311,Híbrido,2025/02/25
JOB-100154,IA Factory,Rosario,Argentina,DevOps Engineer,Python,Node.js,Junior,$17673,Híbrido,2025-03-08
JOB-100155,GreenBit,Bucaramanga,Colombia,BI Developer,R,FastAPI,Junior,US$ 11.172,Híbrido,2024-04-24
JOB-100156,RocketSoft,???,Argentina,Backend Developer,JavaScript,Spark,Junior,$20114,Remoto,30/06/2022
JOB-100157,DevOpsLab,Santiago,Chile,Cloud Architect,Python,Angular,Senior,26829,Remoto,20/01/2024
JOB-100158,CloudForge,Córdoba,Argentina,Frontend Developer,Scala,Vue,Senior,US$ 31.186,Remoto,2022-03-07
JOB-100159,CloudForge,Santiago,Chile,DevOps Engineer,Go,Angular,Senior,"$41,332",Presencial,2022/05/03
JOB-100160,Orion Cloud,Lima,Perú,Cloud Architect,Scala,Spring,Junior,"$16,518",Presencial,05-05-2024
JOB-100161,Orion Cloud,New York,USA,Frontend Developer,TypeScript,Node.js,Mid,81757,Presencial,01/02/2022
JOB-100162,BluePixel,Rosario,Argentina,BI Developer,R,React,Mid,"$21,235",Híbrido,2023-08-04
JOB-100163,Atlas Systems,San Francisco,USA,DevOps Engineer,JavaScript,Laravel,Junior,"$97,204",Híbrido,26-01-2025
JOB-100164,CloudForge,Guadalajara,México,Cybersecurity Analyst,Swift,FastAPI,Mid,13957,Presencial,20-03-2024
JOB-100165,Atlas Systems,Santiago,Chile,BI Developer,Python,.NET,Mid,USD 26786,Remoto,22-04-2023
JOB-100166,Atlas Systems,santiago,Chile,Cybersecurity Analyst,PHP,FastAPI,Senior,"$40,839",Remoto,2023/01/06
JOB-100167,Vertex AI,Barranquilla,Colombia,DevOps Engineer,Swift,Spring,Junior,$8596,Híbrido,19-07-2025
JOB-100168,DevOpsLab,Miami,USA,Fullstack Developer,TypeScript,Django,Mid,USD 103307,Remoto,24-02-2023
JOB-100169,SoftSmart,Rosario,Argentina,Frontend Developer,Go,.NET,Junior,"$13,429",Híbrido,2022/03/19
JOB-100170,IA Factory,Cartagena,Colombia,DevOps Engineer,Java,Django,Junior,$8430,Híbrido,12-05-2022
JOB-100171,CloudForge,Madrid,España,Frontend Developer,PHP,Laravel,Junior,"$26,674",Remoto,07/07/2024
JOB-100172,NeoTech,Austin,USA,Data Engineer,C#,Spring,Junior,$78192,Remoto,2022/04/07
JOB-100173,RocketSoft,Lima,Perú,Data Scientist,Java,Spring,Mid,$17754,Presencial,26-04-2025
JOB-100174,CyberShield,Buenos Aires,Argentina,Cloud Architect,PHP,Node.js,Mid,$22862,Remoto,22/06/2024
JOB-100175,DataNova,Lima,Perú,Cloud Architect,C#,Django,Junior,$12368,Híbrido,14-10-2022
JOB-100176,QuantumWare,Austin,USA,Data Scientist,Scala,Flask,Mid,US$ 93.129,Remoto,2025/07/10
JOB-100177,NeoTech,Rosario,Argentina,Data Engineer,Python,Spring,Senior,USD 32036,Remoto,30-06-2023
JOB-100178,DevOpsLab,San Francisco,USA,Data Scientist,Go,Laravel,Mid,US$ 102.991,Híbrido,23-07-2024
JOB-100179,CodeWorks,córdoba,Argentina,MLOps Engineer,Scala,React,Senior,,Híbrido,2024/06/03
JOB-100180,NeoTech,CDMX,México,Data Analyst,R,Angular,Mid,USD 19796,Remoto,2025-08-03
JOB-100181,Lambda Solutions,Cusco,Perú,Cybersecurity Analyst,JavaScript,FastAPI,Junior,"$13,366",Híbrido,25-03-2022
JOB-100182,IA Factory,Barcelona,España,ML Engineer,JavaScript,Vue,Junior,$32157,Remoto,31-05-2025
JOB-100183,IA Factory,Barcelona,España,Backend Developer,JavaScript,Laravel,Senior,$55599,Remoto,15-05-2022
JOB-100184,CodeWorks,Cusco,Perú,Cybersecurity Analyst,PHP,Node.js,Mid,$21292,Remoto,01-02-2022
JOB-100185,RocketSoft,???,México,ML Engineer,Scala,Angular,Junior,"$14,651",Híbrido,2025-03-23
JOB-100186,Orion Cloud,Barcelona,España,Cybersecurity Analyst,Java,Flask,Mid,"$27,433",Presencial,2024-02-21
JOB-100187,CyberShield,Cartagena,Colombia,Data Engineer,Kotlin,FastAPI,Senior,"$13,347",Remoto,2023-05-14
JOB-100188,IA Factory,???,Chile,ML Engineer,Java,Angular,Mid,US$ 27.741,Presencial,2023/02/04
JOB-100189,Orion Cloud,New York,USA,Cybersecurity Analyst,C#,FastAPI,Junior,USD 73055,Híbrido,10-09-2022
JOB-100190,Atlas Systems,Guadalajara,México,Data Analyst,Java,Flask,Mid,21072,Presencial,19-03-2025
JOB-100191,IA Factory,Rosario,Argentina,Data Scientist,Scala,.NET,Senior,"$29,148",Híbrido,2022/04/17
JOB-100192,NeoTech,Arequipa,Perú,Fullstack Developer,R,Laravel,Mid,$15977,Híbrido,25/11/2024
JOB-100193,Vertex AI,cali,Colombia,Backend Developer,R,Spark,Senior,"$19,527",Remoto,27-10-2023
JOB-100194,DataNova,Arequipa,Perú,Backend Developer,JavaScript,.NET,Mid,$15820,Remoto,2025/08/06
JOB-100195,Atlas Systems,Cali,Colombia,MLOps Engineer,Swift,Django,Senior,"$11,627",Híbrido,2023-04-30
JOB-100196,BluePixel,Cartagena,Colombia,Fullstack Developer,Scala,Spring,Junior,USD 12571,Remoto,13/08/2024
JOB-100197,DevOpsLab,San Francisco,USA,Frontend Developer,R,,Mid,67771,Híbrido,03/06/2025
JOB-100198,SoftSmart,Miami,USA,Cybersecurity Analyst,PHP,FastAPI,Senior,"$145,696",Remoto,2023/05/12
JOB-100199,QuantumWare,Guadalajara,México,BI Developer,R,Django,Mid,$20534,Híbrido,2023/07/07
JOB-100200,SoftSmart,Santiago,Chile,Frontend Developer,Python,Django,Junior,USD 20441,Híbrido,2025-09-09
JOB-100201,Orion Cloud,Barcelona,España,Fullstack Developer,Java,Vue,Junior,22723,Remoto,15/10/2025
JOB-100202,Atlas Systems,Cusco,Perú,Cybersecurity Analyst,Java,FastAPI,Mid,USD 20740,Híbrido,2022-07-31
JOB-100203,CyberShield,Córdoba,Argentina,Cloud Architect,R,Laravel,Junior,"$12,540",Híbrido,15-07-2024
JOB-100204,Vertex AI,Concepción,Chile,Frontend Developer,PHP,.NET,Senior,USD 27945,Remoto,20-10-2024
JOB-100205,IA Factory,Valparaíso,Chile,Cybersecurity Analyst,Go,Spring,Mid,$23643,Híbrido,26/10/2023
JOB-100206,SoftSmart,Miami,USA,DevOps Engineer,Python,Django,Junior,USD 84988,Presencial,02-10-2023
JOB-100207,GreenBit,Concepción,Chile,DevOps Engineer,Kotlin,Node.js,Junior,US$ 20.900,Presencial,20/05/2022
JOB-100208,Vertex AI,Santiago,Chile,Cybersecurity Analyst,R,Spark,Senior,$39256,Híbrido,02-04-2024
JOB-100209,Lambda Solutions,Austin,USA,Data Engineer,Swift,Flask,Junior,US$ 70.942,Híbrido,15/11/2024
JOB-100210,BluePixel,Barcelona,España,Data Engineer,PHP,Vue,Mid,US$ 37.018,Presencial,21-01-2023
JOB-100211,CyberShield,Madrid,España,Fullstack Developer,TypeScript,Spark,Senior,$44125,Remoto,2023-09-21
JOB-100212,QuantumWare,Medellin,Colombia,Data Analyst,TypeScript,Django,Senior,USD 16001,Presencial,29/06/2023
JOB-100213,GreenBit,Concepción,Chile,BI Developer,Java,Spring,Junior,$21779,Remoto,16-12-2022
JOB-100214,GreenBit,Cusco,Perú,Data Scientist,Scala,Django,Senior,US$ 24.066,Híbrido,19/07/2023
JOB-100215,CyberShield,Rosario,Argentina,BI Developer,Java,Node.js,Junior,,Remoto,2024-03-21
JOB-100216,NeoTech,Santiago,Chile,Backend Developer,C#,Django,Junior,$18280,Híbrido,2024/05/06
JOB-100217,RocketSoft,Barcelona,España,Data Analyst,C#,Spark,Mid,$34623,Presencial,2024-09-19
JOB-100218,NeoTech,BUENOS AIRES,Argentina,Data Analyst,JavaScript,Spring,Mid,US$ 20.117,Híbrido,2025/02/24
JOB-100219,QuantumWare,Barranquilla,Colombia,Fullstack Developer,R,Spark,Junior,US$ 9.319,Presencial,17-05-2023
JOB-100220,BluePixel,New York,USA,Fullstack Developer,C#,.NET,Junior,US$ 82.753,Remoto,2022-09-23
JOB-100221,DevOpsLab,Monterrey,México,Cybersecurity Analyst,Kotlin,FastAPI,Junior,"$14,785",Híbrido,12/07/2025
JOB-100222,RocketSoft,Barcelona,España,Cybersecurity Analyst,C#,React,Mid,USD 47919,Presencial,2024/06/20
JOB-100223,QuantumWare,Lima,Perú,BI Developer,Swift,React,Junior,US$ 13.925,Presencial,08-07-2023
JOB-100224,DevOpsLab,bucaramanga,Colombia,Frontend Developer,Python,.NET,Senior,US$ 16.227,Híbrido,2023-01-21
JOB-100225,Vertex AI,VALENCIA,España,Cybersecurity Analyst,Go,React,Junior,"$25,657",Remoto,2024/03/28
JOB-100226,Orion Cloud,CDMX,México,MLOps Engineer,Scala,Spring,Mid,"$18,061",Híbrido,21-02-2022
JOB-100227,QuantumWare,New York,USA,Fullstack Developer,Scala,Flask,Junior,USD 83784,Presencial,2025-10-19
JOB-100228,IA Factory,ROSARIO,Argentina,DevOps Engineer,C#,Angular,Junior,USD 14223,Presencial,31/07/2025
